"node_from","node_to","management"
11,105,"E"
77,317,"E"
77,202,"E"
78,123,"E"
26,183,"E"
20,123,"E"
20,126,"E"
26,318,"E"
76,276,"E"
26,144,"E"
76,322,"E"
20,279,"E"
61,278,"E"
61,190,"E"
61,318,"E"
61,186,"E"
61,282,"E"
61,203,"E"
61,317,"E"
26,232,"E"
61,232,"E"
61,276,"E"
95,295,"E"
95,112,"E"
95,126,"E"
11,232,"E"
61,343,"E"
99,358,"E"
11,349,"E"
28,363,"E"
98,358,"E"
78,348,"E"
77,348,"E"
66,354,"E"
38,343,"E"
97,358,"E"
44,357,"E"
19,354,"E"
44,358,"E"
97,351,"E"
26,361,"E"
33,341,"E"
28,344,"E"
358,376,"E"
358,377,"E"
358,368,"E"
343,367,"E"
358,367,"E"
358,378,"E"
358,374,"E"
358,369,"E"
358,365,"E"
358,381,"E"
358,380,"E"
361,374,"E"
358,370,"E"
341,381,"E"
343,377,"E"
343,380,"E"
343,376,"E"
361,372,"E"
26,445,"E"
26,438,"E"
26,422,"E"
26,467,"E"
26,470,"E"
98,470,"E"
28,470,"E"
28,421,"E"
28,439,"E"
98,445,"E"
19,469,"E"
99,412,"E"
77,417,"E"
77,445,"E"
26,421,"E"
77,470,"E"
77,471,"E"
26,437,"E"
26,447,"E"
44,467,"E"
26,415,"E"
14,421,"E"
86,410,"E"
64,463,"E"
64,445,"E"
64,435,"E"
77,425,"E"
77,422,"E"
64,438,"E"
64,447,"E"
17,410,"E"
17,421,"E"
77,467,"E"
28,445,"E"
26,455,"E"
11,469,"E"
94,445,"E"
77,458,"E"
11,440,"E"
11,419,"E"
94,429,"E"
11,445,"E"
94,457,"E"
94,438,"E"
44,433,"E"
26,441,"E"
28,389,"E"
26,397,"E"
26,465,"E"
14,430,"E"
77,455,"E"
96,445,"E"
17,467,"E"
96,438,"E"
95,469,"E"
95,445,"E"
95,422,"E"
95,438,"E"
44,438,"E"
44,425,"E"
26,401,"E"
26,469,"E"
26,389,"E"
26,394,"E"
26,390,"E"
28,433,"E"
26,425,"E"
26,426,"E"
14,482,"E"
14,483,"E"
14,486,"E"
482,534,"E"
483,534,"E"
486,534,"E"
482,540,"E"
483,540,"E"
486,540,"E"
4,508,"E"
5,508,"E"
7,508,"E"
11,508,"E"
12,508,"E"
14,508,"E"
30,508,"E"
33,508,"E"
36,508,"E"
39,508,"E"
44,508,"E"
47,508,"E"
49,508,"E"
57,508,"E"
59,508,"E"
67,508,"E"
72,508,"E"
80,508,"E"
82,508,"E"
99,508,"E"
11,326,"E"
77,259,"E"
78,308,"E"
11,179,"E"
11,164,"E"
11,141,"E"
47,179,"E"
61,179,"E"
47,193,"E"
76,179,"E"
26,166,"E"
26,228,"E"
26,179,"E"
38,179,"E"
26,198,"E"
61,128,"E"
61,264,"E"
61,244,"E"
61,303,"E"
61,164,"E"
20,164,"E"
61,247,"E"
61,196,"E"
28,131,"E"
61,259,"E"
28,244,"E"
11,259,"E"
61,138,"E"
62,259,"E"
61,248,"E"
47,138,"E"
26,237,"E"
61,286,"E"
61,209,"E"
61,285,"E"
26,164,"E"
24,181,"E"
61,249,"E"
61,302,"E"
61,252,"E"
61,250,"E"
61,173,"E"
61,132,"E"
95,196,"E"
17,223,"E"
11,249,"E"
11,255,"E"
26,142,"E"
11,143,"E"
11,138,"E"
11,222,"E"
11,158,"E"
11,170,"E"
11,266,"E"
11,140,"E"
11,304,"E"
11,303,"E"
61,301,"E"
32,519,"E"
32,524,"E"
95,514,"E"
91,516,"E"
95,516,"E"
61,517,"E"
14,523,"E"
95,523,"E"
14,513,"E"
28,513,"E"
26,514,"E"
28,514,"E"
28,516,"E"
26,517,"E"
28,517,"E"
28,519,"E"
28,523,"E"
61,523,"E"
11,525,"E"
14,525,"E"
26,525,"E"
28,525,"E"
26,522,"E"
4,495,"E"
4,496,"E"
4,497,"E"
4,498,"E"
4,499,"E"
4,500,"E"
4,501,"E"
4,502,"E"
4,503,"E"
4,504,"E"
4,505,"E"
5,496,"E"
5,497,"E"
5,498,"E"
5,499,"E"
5,501,"E"
5,504,"E"
7,496,"E"
7,497,"E"
7,498,"E"
7,499,"E"
7,500,"E"
7,501,"E"
7,502,"E"
7,503,"E"
7,504,"E"
8,496,"E"
8,497,"E"
8,498,"E"
8,499,"E"
8,501,"E"
8,504,"E"
8,505,"E"
11,497,"E"
11,499,"E"
11,500,"E"
11,501,"E"
11,502,"E"
11,504,"E"
11,505,"E"
12,495,"E"
12,496,"E"
12,497,"E"
12,498,"E"
12,499,"E"
12,500,"E"
12,501,"E"
12,502,"E"
12,503,"E"
12,504,"E"
12,505,"E"
13,499,"E"
13,502,"E"
13,504,"E"
13,505,"E"
14,496,"E"
14,497,"E"
14,498,"E"
14,499,"E"
14,500,"E"
14,502,"E"
14,503,"E"
14,504,"E"
16,496,"E"
16,497,"E"
16,498,"E"
16,499,"E"
16,500,"E"
16,503,"E"
16,504,"E"
16,505,"E"
17,497,"E"
17,500,"E"
19,496,"E"
19,497,"E"
19,498,"E"
19,499,"E"
19,500,"E"
19,503,"E"
19,504,"E"
19,505,"E"
20,495,"E"
20,497,"E"
20,498,"E"
20,502,"E"
23,496,"E"
23,497,"E"
23,498,"E"
23,499,"E"
23,500,"E"
23,501,"E"
23,503,"E"
23,504,"E"
23,505,"E"
24,496,"E"
24,502,"E"
24,503,"E"
24,504,"E"
26,495,"E"
26,497,"E"
26,498,"E"
26,499,"E"
26,500,"E"
26,501,"E"
26,502,"E"
26,504,"E"
26,505,"E"
28,496,"E"
28,497,"E"
28,498,"E"
28,499,"E"
28,502,"E"
28,504,"E"
28,505,"E"
30,499,"E"
30,504,"E"
32,496,"E"
32,497,"E"
32,498,"E"
32,499,"E"
32,500,"E"
32,501,"E"
32,503,"E"
32,504,"E"
32,505,"E"
33,495,"E"
33,496,"E"
33,497,"E"
33,498,"E"
33,499,"E"
33,500,"E"
33,501,"E"
33,502,"E"
33,503,"E"
33,504,"E"
33,505,"E"
36,500,"E"
36,501,"E"
36,502,"E"
36,504,"E"
36,505,"E"
38,497,"E"
38,498,"E"
38,503,"E"
38,504,"E"
41,495,"E"
41,504,"E"
44,495,"E"
44,496,"E"
44,497,"E"
44,498,"E"
44,499,"E"
44,500,"E"
44,501,"E"
44,502,"E"
44,503,"E"
44,504,"E"
44,505,"E"
45,496,"E"
45,497,"E"
45,498,"E"
45,499,"E"
45,500,"E"
45,501,"E"
45,503,"E"
45,504,"E"
46,496,"E"
46,497,"E"
46,498,"E"
46,499,"E"
46,504,"E"
46,505,"E"
47,496,"E"
47,499,"E"
47,500,"E"
47,501,"E"
47,502,"E"
47,503,"E"
47,505,"E"
48,496,"E"
48,497,"E"
48,498,"E"
48,499,"E"
48,504,"E"
48,505,"E"
49,496,"E"
49,497,"E"
49,498,"E"
49,499,"E"
49,501,"E"
49,504,"E"
51,495,"E"
51,496,"E"
51,504,"E"
56,496,"E"
56,497,"E"
56,498,"E"
56,499,"E"
56,500,"E"
56,501,"E"
56,503,"E"
57,495,"E"
57,496,"E"
57,497,"E"
57,498,"E"
57,499,"E"
57,500,"E"
57,501,"E"
57,502,"E"
57,503,"E"
57,504,"E"
57,505,"E"
59,496,"E"
59,501,"E"
59,503,"E"
59,504,"E"
59,505,"E"
61,496,"E"
61,497,"E"
61,498,"E"
61,499,"E"
61,504,"E"
61,505,"E"
62,495,"E"
62,497,"E"
62,498,"E"
62,499,"E"
62,500,"E"
62,502,"E"
62,504,"E"
64,496,"E"
64,497,"E"
64,498,"E"
64,499,"E"
64,500,"E"
64,501,"E"
64,502,"E"
64,503,"E"
64,504,"E"
64,505,"E"
67,495,"E"
67,496,"E"
67,497,"E"
67,498,"E"
67,499,"E"
67,500,"E"
67,501,"E"
67,502,"E"
67,503,"E"
67,504,"E"
67,505,"E"
72,496,"E"
72,497,"E"
72,498,"E"
72,499,"E"
72,500,"E"
72,501,"E"
72,503,"E"
72,504,"E"
76,497,"E"
76,499,"E"
76,500,"E"
76,504,"E"
77,496,"E"
77,497,"E"
77,498,"E"
77,499,"E"
77,503,"E"
77,504,"E"
77,505,"E"
78,496,"E"
78,497,"E"
78,498,"E"
78,499,"E"
78,501,"E"
78,502,"E"
78,504,"E"
78,505,"E"
80,495,"E"
80,497,"E"
80,498,"E"
80,500,"E"
80,503,"E"
80,505,"E"
81,502,"E"
81,504,"E"
86,495,"E"
86,497,"E"
86,500,"E"
91,496,"E"
91,497,"E"
91,498,"E"
91,499,"E"
91,500,"E"
91,501,"E"
91,503,"E"
91,504,"E"
91,505,"E"
99,495,"E"
99,496,"E"
99,497,"E"
99,498,"E"
99,499,"E"
99,500,"E"
99,501,"E"
99,502,"E"
99,503,"E"
99,504,"E"
99,505,"E"
3,276,"E"
3,318,"E"
3,124,"E"
14,124,"E"
14,323,"E"
26,212,"E"
26,295,"E"
14,112,"E"
54,345,"E"
44,435,"E"
28,426,"E"
44,471,"E"
26,457,"E"
28,452,"E"
28,425,"E"
44,389,"E"
44,457,"E"
44,445,"E"
26,435,"E"
26,433,"E"
26,446,"E"
14,445,"E"
44,462,"E"
28,454,"E"
28,451,"E"
44,461,"E"
44,447,"E"
44,423,"E"
44,422,"E"
54,436,"E"
44,412,"E"
44,470,"E"
44,453,"E"
28,407,"E"
14,457,"E"
26,471,"E"
54,426,"E"
54,445,"E"
14,423,"E"
44,401,"E"
28,492,"E"
14,484,"E"
78,493,"E"
78,494,"E"
492,530,"E"
494,530,"E"
484,534,"E"
484,540,"E"
484,542,"E"
484,543,"E"
26,248,"E"
26,303,"E"
14,246,"E"
26,258,"E"
26,131,"E"
26,101,"E"
26,230,"E"
25,303,"E"
25,163,"E"
25,167,"E"
25,151,"E"
25,152,"E"
25,283,"E"
26,195,"E"
25,254,"E"
26,210,"E"
26,335,"E"
26,193,"E"
26,259,"E"
26,173,"E"
2,237,"E"
26,240,"E"
26,247,"E"
26,215,"E"
14,267,"E"
26,255,"E"
26,139,"E"
14,512,"E"
14,522,"E"
48,519,"E"
28,521,"E"
28,524,"E"
48,524,"E"
14,515,"E"
32,516,"E"
32,522,"E"
32,526,"E"
28,520,"E"
508,545,"E"
508,548,"E"
508,549,"E"
2,496,"E"
2,497,"E"
2,498,"E"
2,499,"E"
2,504,"E"
10,496,"E"
10,499,"E"
10,500,"E"
10,501,"E"
10,502,"E"
10,503,"E"
10,505,"E"
25,496,"E"
25,497,"E"
25,498,"E"
25,499,"E"
25,500,"E"
25,501,"E"
25,503,"E"
25,505,"E"
27,496,"E"
27,499,"E"
27,504,"E"
54,496,"E"
54,497,"E"
54,498,"E"
54,499,"E"
54,500,"E"
54,501,"E"
54,503,"E"
54,505,"E"
58,496,"E"
58,497,"E"
58,498,"E"
58,499,"E"
58,504,"E"
63,496,"E"
63,497,"E"
63,498,"E"
63,499,"E"
63,504,"E"
63,505,"E"
71,496,"E"
71,503,"E"
71,504,"E"
71,505,"E"
75,496,"E"
75,497,"E"
75,498,"E"
75,499,"E"
75,504,"E"
14,236,"E"
14,123,"E"
14,126,"E"
14,190,"E"
14,127,"E"
26,231,"E"
69,343,"E"
44,351,"E"
28,362,"E"
14,337,"E"
361,376,"E"
337,365,"E"
28,464,"E"
28,435,"E"
28,471,"E"
44,455,"E"
26,396,"E"
14,447,"E"
28,438,"E"
26,287,"E"
26,270,"E"
78,255,"E"
26,306,"E"
26,305,"E"
26,197,"E"
26,224,"E"
26,129,"E"
26,299,"E"
26,291,"E"
19,327,"E"
14,113,"E"
14,101,"E"
26,171,"E"
14,303,"E"
26,213,"E"
14,179,"E"
26,320,"E"
14,284,"E"
14,302,"E"
28,313,"E"
14,314,"E"
28,515,"E"
60,496,"E"
60,499,"E"
60,500,"E"
60,502,"E"
60,504,"E"
25,279,"E"
54,281,"E"
25,276,"E"
14,276,"E"
28,318,"E"
28,279,"E"
28,219,"E"
7,280,"E"
28,124,"E"
7,124,"E"
7,183,"E"
53,276,"E"
71,274,"E"
71,233,"E"
71,276,"E"
7,276,"E"
7,112,"E"
7,126,"E"
28,123,"E"
7,187,"E"
26,276,"E"
26,234,"E"
49,276,"E"
7,322,"E"
7,123,"E"
7,279,"E"
7,318,"E"
51,122,"E"
25,183,"E"
7,233,"E"
49,124,"E"
19,276,"E"
85,243,"E"
85,233,"E"
85,183,"E"
85,276,"E"
7,350,"E"
80,352,"E"
5,356,"E"
13,340,"E"
73,359,"E"
80,342,"E"
352,365,"E"
356,381,"E"
352,376,"E"
356,378,"E"
350,365,"E"
25,448,"E"
26,436,"E"
54,399,"E"
37,404,"E"
78,439,"E"
25,438,"E"
25,461,"E"
5,387,"E"
44,444,"E"
78,438,"E"
55,445,"E"
44,475,"E"
44,430,"E"
44,434,"E"
44,409,"E"
7,424,"E"
7,387,"E"
28,408,"E"
28,391,"E"
54,448,"E"
5,424,"E"
7,422,"E"
5,404,"E"
45,430,"E"
33,388,"E"
33,404,"E"
49,384,"E"
5,393,"E"
5,443,"E"
54,430,"E"
5,459,"E"
49,476,"E"
78,491,"E"
491,537,"E"
493,537,"E"
1,507,"E"
1,508,"E"
1,509,"E"
1,510,"E"
5,507,"E"
5,510,"E"
7,507,"E"
7,509,"E"
7,510,"E"
12,510,"E"
33,507,"E"
33,509,"E"
33,510,"E"
34,508,"E"
34,510,"E"
36,507,"E"
36,509,"E"
36,510,"E"
40,507,"E"
40,508,"E"
40,509,"E"
40,510,"E"
44,507,"E"
44,509,"E"
44,510,"E"
45,508,"E"
45,510,"E"
49,507,"E"
49,509,"E"
49,510,"E"
50,507,"E"
50,508,"E"
50,510,"E"
51,507,"E"
51,508,"E"
51,509,"E"
51,510,"E"
53,508,"E"
53,510,"E"
59,507,"E"
59,510,"E"
64,507,"E"
64,508,"E"
64,510,"E"
72,510,"E"
73,507,"E"
73,508,"E"
73,509,"E"
73,510,"E"
80,510,"E"
82,507,"E"
82,509,"E"
82,510,"E"
54,303,"E"
25,289,"E"
25,192,"E"
25,304,"E"
54,134,"E"
54,235,"E"
54,152,"E"
54,193,"E"
54,221,"E"
54,151,"E"
54,189,"E"
25,241,"E"
25,324,"E"
54,244,"E"
25,100,"E"
25,176,"E"
25,193,"E"
25,107,"E"
25,164,"E"
25,201,"E"
25,129,"E"
25,239,"E"
25,291,"E"
54,117,"E"
25,179,"E"
13,305,"E"
7,179,"E"
28,218,"E"
28,260,"E"
28,303,"E"
22,303,"E"
73,259,"E"
63,259,"E"
71,179,"E"
25,120,"E"
25,214,"E"
49,198,"E"
25,103,"E"
71,251,"E"
71,121,"E"
71,120,"E"
54,199,"E"
54,103,"E"
54,138,"E"
54,179,"E"
71,131,"E"
54,111,"E"
25,265,"E"
26,100,"E"
25,290,"E"
28,169,"E"
28,329,"E"
7,294,"E"
7,285,"E"
7,306,"E"
28,296,"E"
7,259,"E"
28,271,"E"
28,259,"E"
49,136,"E"
49,303,"E"
49,169,"E"
49,151,"E"
7,216,"E"
28,129,"E"
7,141,"E"
25,263,"E"
25,137,"E"
25,262,"E"
25,131,"E"
25,182,"E"
25,180,"E"
25,272,"E"
25,174,"E"
25,177,"E"
7,138,"E"
7,229,"E"
28,227,"E"
7,159,"E"
54,305,"E"
7,248,"E"
3,164,"E"
73,103,"E"
73,184,"E"
73,104,"E"
73,133,"E"
74,104,"E"
5,303,"E"
7,296,"E"
7,158,"E"
7,307,"E"
7,334,"E"
85,161,"E"
85,275,"E"
85,296,"E"
7,162,"E"
85,307,"E"
85,321,"E"
6,519,"E"
7,511,"E"
28,511,"E"
7,513,"E"
7,517,"E"
7,520,"E"
7,525,"E"
78,511,"E"
78,513,"E"
85,513,"E"
78,514,"E"
78,516,"E"
78,517,"E"
7,519,"E"
78,519,"E"
78,520,"E"
7,524,"E"
78,524,"E"
15,525,"E"
78,525,"E"
71,516,"E"
7,526,"E"
507,545,"E"
507,546,"E"
508,546,"E"
508,547,"E"
508,550,"E"
510,544,"E"
510,545,"E"
510,546,"E"
510,548,"E"
34,496,"E"
34,497,"E"
34,498,"E"
34,499,"E"
34,500,"E"
34,501,"E"
34,503,"E"
40,501,"E"
52,496,"E"
52,499,"E"
52,500,"E"
52,501,"E"
52,503,"E"
52,504,"E"
52,505,"E"
53,499,"E"
53,504,"E"
73,496,"E"
73,497,"E"
73,498,"E"
73,499,"E"
73,504,"E"
74,496,"E"
74,497,"E"
74,498,"E"
74,499,"E"
74,500,"E"
74,501,"E"
74,503,"E"
74,505,"E"
70,186,"E"
70,276,"E"
70,322,"E"
70,318,"E"
70,317,"E"
70,187,"E"
70,190,"E"
70,316,"E"
78,124,"E"
77,318,"E"
77,112,"E"
28,202,"E"
49,105,"E"
70,188,"E"
78,112,"E"
28,232,"E"
79,339,"E"
49,347,"E"
50,353,"E"
347,376,"E"
358,379,"E"
44,441,"E"
44,466,"E"
44,469,"E"
44,411,"E"
44,446,"E"
44,456,"E"
44,432,"E"
28,469,"E"
26,403,"E"
28,461,"E"
28,405,"E"
33,400,"E"
5,469,"E"
5,429,"E"
5,422,"E"
5,447,"E"
49,422,"E"
49,469,"E"
80,469,"E"
28,455,"E"
77,406,"E"
10,508,"E"
12,509,"E"
16,510,"E"
88,179,"E"
59,179,"E"
70,244,"E"
70,128,"E"
70,226,"E"
70,235,"E"
70,185,"E"
70,311,"E"
70,227,"E"
70,206,"E"
70,245,"E"
70,225,"E"
70,288,"E"
70,135,"E"
28,179,"E"
28,294,"E"
28,156,"E"
90,172,"E"
88,285,"E"
19,244,"E"
35,179,"E"
35,293,"E"
26,138,"E"
26,141,"E"
78,179,"E"
54,150,"E"
49,152,"E"
49,283,"E"
49,248,"E"
49,228,"E"
49,164,"E"
49,268,"E"
19,331,"E"
26,283,"E"
19,179,"E"
54,178,"E"
54,325,"E"
54,238,"E"
26,333,"E"
26,220,"E"
26,256,"E"
70,513,"E"
78,521,"E"
509,544,"E"
509,546,"E"
84,496,"E"
84,497,"E"
84,498,"E"
84,499,"E"
84,500,"E"
84,501,"E"
84,503,"E"
84,505,"E"
14,122,"E"
26,277,"E"
61,188,"E"
61,322,"E"
61,211,"E"
78,126,"E"
61,315,"E"
86,355,"E"
77,364,"E"
14,360,"E"
364,365,"E"
337,369,"E"
337,377,"E"
337,376,"E"
337,381,"E"
337,378,"E"
337,371,"E"
360,365,"E"
360,376,"E"
61,308,"E"
61,189,"E"
61,265,"E"
14,300,"E"
26,150,"E"
26,222,"E"
26,165,"E"
14,109,"E"
14,125,"E"
11,317,"E"
44,345,"E"
361,373,"E"
28,457,"E"
18,445,"E"
18,470,"E"
18,404,"E"
18,467,"E"
26,450,"E"
14,469,"E"
31,442,"E"
14,464,"E"
60,485,"E"
14,478,"E"
478,534,"E"
492,536,"E"
478,540,"E"
478,542,"E"
482,542,"E"
486,542,"E"
478,543,"E"
482,543,"E"
486,543,"E"
31,179,"E"
31,258,"E"
31,259,"E"
31,303,"E"
26,308,"E"
26,293,"E"
26,201,"E"
26,292,"E"
26,313,"E"
2,297,"E"
2,217,"E"
2,208,"E"
2,327,"E"
26,327,"E"
2,298,"E"
26,297,"E"
2,164,"E"
2,259,"E"
2,114,"E"
2,200,"E"
26,154,"E"
2,129,"E"
14,283,"E"
14,304,"E"
26,304,"E"
26,252,"E"
14,158,"E"
26,209,"E"
61,304,"E"
26,114,"E"
28,512,"E"
75,517,"E"
31,525,"E"
14,518,"E"
7,122,"E"
54,336,"E"
54,187,"E"
54,146,"E"
65,322,"E"
65,243,"E"
21,124,"E"
3,191,"E"
28,126,"E"
3,232,"E"
85,148,"E"
28,183,"E"
85,277,"E"
28,112,"E"
85,149,"E"
28,145,"E"
85,147,"E"
7,243,"E"
61,157,"E"
89,124,"E"
61,106,"E"
10,322,"E"
22,186,"E"
22,112,"E"
87,354,"E"
68,343,"E"
343,369,"E"
343,381,"E"
