lower;C;CSF;GM;LP;LU;MH;NH;NL;PP;RG;ST;W
01PLANT.Ash;0;0;0;28;0;28;28;0;0;28;28;28
01PLANT.Autumn Hawkbit;0;0;54;0;0;0;54;0;162;54;0;0
01PLANT.Bindweed sp;0;0;18;18;0;18;18;0;18;54;0;18
01PLANT.Black Bindweed;22;22;0;0;11;0;11;0;0;0;0;0
01PLANT.Blackthorn;110;0;110;110;0;220;110;0;0;110;0;110
01PLANT.Bluebell;0;0;0;0;0;8;0;0;0;0;0;16
01PLANT.Bramble;287;0;287;0;0;3157;287;0;287;1148;0;2009
01PLANT.Bristly Oxtongue;12;0;0;0;0;0;12;0;0;0;0;0
01PLANT.Bugle;0;0;0;0;0;0;0;0;0;0;0;10
01PLANT.Bush Vetch;0;0;13;0;0;26;26;13;0;13;0;13
01PLANT.Charlock;738;246;8;246;0;0;123;123;246;369;0;0
01PLANT.Chenopodium sp;51;0;51;0;51;51;51;0;51;51;0;0
01PLANT.Cleavers;33;33;33;0;0;33;33;0;33;33;0;33
01PLANT.Clover sp;990;165;2640;3100;660;330;495;2640;2640;1815;0;0
01PLANT.Common Bird's-foot-trefoil;0;0;0;0;0;10;0;0;10;20;0;0
01PLANT.Common Chickweed;70;0;0;28;14;0;14;14;0;14;0;0
01PLANT.Common Field Speedwell;77;44;11;11;11;11;0;11;11;33;0;0
01PLANT.Common Fleabane;0;0;0;0;0;0;0;0;10;0;0;0
01PLANT.Common Mouse-ear;124;31;186;124;31;62;124;31;248;124;0;0
01PLANT.Common Poppy;96;48;0;48;24;24;48;24;0;48;0;0
01PLANT.Common Vetch;18;0;0;0;0;0;0;0;0;72;0;0
01PLANT.Corn Mint;22;0;0;0;0;22;0;22;0;44;0;0
01PLANT.Corn Sowthistle;20;0;0;0;0;0;0;0;0;0;0;0
01PLANT.Corn Spurrey;14;0;0;0;0;0;0;0;0;0;0;0
01PLANT.Cow Parsley;0;0;193;0;0;386;0;0;0;579;0;0
01PLANT.Creeping Buttercup;7659;2553;11063;11063;851;3404;5957;851;12765;5106;0;1702
01PLANT.Creeping Cinquefoil;0;0;10;0;0;10;10;0;10;20;0;0
01PLANT.Creeping Thistle;1414;1414;2828;2828;707;2121;4242;707;1414;4242;0;707
01PLANT.Cuckooflower;0;0;0;0;0;0;0;0;4;0;0;4
01PLANT.Cut-leaved Crane's-bill;7;7;14;14;7;28;35;7;7;35;0;0
01PLANT.Daisy;40;0;40;0;40;40;0;0;200;40;0;0
01PLANT.Dandelion;29;29;58;29;29;29;58;29;29;58;0;0
01PLANT.Dock sp;119;119;119;119;119;119;119;119;119;119;0;119
01PLANT.Dog's Mercury;0;0;0;0;0;15;0;0;0;15;0;15
01PLANT.Dogwood;0;0;0;0;0;13;13;0;0;0;0;0
01PLANT.Elder;31;0;0;0;0;31;31;31;0;31;0;31
01PLANT.Elm sp;0;0;0;0;0;3;0;0;0;0;0;3
01PLANT.Field Forget-me-not;605;220;55;110;55;0;165;55;55;165;0;0
01PLANT.Field Madder;10;5;0;5;0;5;0;5;0;0;0;0
01PLANT.Field Maple;0;0;0;0;0;30;30;0;0;30;0;30
01PLANT.Field Pansy;32;8;0;8;0;4;0;4;4;4;0;0
01PLANT.Garlic Mustard;0;0;0;0;0;6;0;0;0;3;0;3
01PLANT.Germander Speedwell;0;0;0;0;0;0;0;0;0;0;0;3
01PLANT.Grass sp;1037;1037;1037;1037;1037;1037;1037;1037;1037;1037;0;1037
01PLANT.Ground Ivy;18;0;18;0;0;54;0;0;0;72;0;54
01PLANT.Groundsel;10;10;0;0;0;0;10;10;10;10;0;0
01PLANT.Hairy Tare;26;0;0;26;0;0;52;26;0;0;0;0
01PLANT.Hawkish Complex sp;12;0;24;12;12;0;0;12;12;12;0;0
01PLANT.Hawthorn;1;0;7;0;0;318;106;0;106;106;0;106
01PLANT.Hazel;0;0;32;0;0;32;32;0;0;0;0;32
01PLANT.Hedge Woundwort;31;0;0;0;0;62;62;0;0;93;0;31
01PLANT.Herb Bennet;0;0;0;0;0;10;10;0;0;0;0;20
01PLANT.Herb Robert;0;0;0;0;0;42;0;0;0;0;0;126
01PLANT.Hogweed;0;0;380;380;0;760;760;0;0;1140;0;380
01PLANT.Honeysuckle;0;0;0;0;0;2;0;0;0;0;0;4
01PLANT.Ivy-leaved Speedwell;8;0;0;0;0;0;0;0;0;8;0;0
01PLANT.Knotgrass sp;43;43;0;43;43;43;43;43;43;43;0;43
01PLANT.Lesser Burdock;0;0;20;0;0;10;0;0;0;10;0;10
01PLANT.Lesser Stitchwort;23;0;0;0;0;46;23;0;23;0;0;0
01PLANT.Lesser Trefoil;0;0;0;7;0;0;0;7;21;0;0;0
01PLANT.Mayweed sp;2872;718;0;718;359;0;359;359;1077;3231;0;359
01PLANT.Meadow Buttercup;14;0;14;14;0;14;0;0;14;14;0;0
01PLANT.Nipplewort;0;0;26;0;0;13;0;13;0;39;0;0
01PLANT.Oak;224;0;224;224;0;224;224;0;224;224;224;224
01PLANT.Oil Seed Rape;0;0;0;0;0;0;0;0;0;12;0;0
01PLANT.Parsley Piert;2;2;0;0;2;0;0;2;0;2;0;0
01PLANT.Persicaria sp;117;39;13;0;0;13;39;39;13;39;0;0
01PLANT.Pineappleweed;93;0;0;0;0;0;0;0;0;279;0;0
01PLANT.Plantain sp;2;2;2;2;2;2;2;2;2;2;0;0
01PLANT.Ragwort;75;75;75;0;0;0;150;0;0;0;0;0
01PLANT.Ramsons;0;0;0;0;0;0;0;0;0;0;0;8
01PLANT.Red Campion;0;0;32;0;0;64;0;0;0;0;0;96
01PLANT.Red Dead-nettle;81;54;0;81;0;27;27;27;0;27;0;0
01PLANT.Rose sp;0;0;0;0;0;92;46;0;0;46;0;138
01PLANT.Rough Chervil;0;0;0;0;0;68;0;0;0;17;0;17
01PLANT.Selfheal;0;0;16;0;0;8;0;0;32;8;0;0
01PLANT.Shepherd's Purse;30;0;15;0;15;0;0;0;0;0;0;0
01PLANT.Sow-thistle sp;264;198;132;132;66;132;66;66;66;198;0;0
01PLANT.Spear Thistle;124;124;124;124;0;248;372;124;124;372;0;0
01PLANT.Spindle;0;0;0;0;0;2;2;0;0;0;0;0
01PLANT.Stinging Nettle;98;0;98;0;98;98;98;0;98;98;0;98
01PLANT.Sun Spurge;3;0;0;0;0;0;0;0;0;0;0;0
01PLANT.Sycamore;21;0;0;0;0;21;0;0;0;0;21;21
01PLANT.Teasel;0;0;0;0;0;3;3;0;0;3;0;0
01PLANT.Traveller's Joy;0;0;0;0;0;0;15;0;0;0;0;15
01PLANT.Upright Hedge-parsley;0;0;0;0;0;212;0;0;0;159;0;0
01PLANT.Wall Speedwell;33;11;0;11;0;11;0;11;0;11;0;0
01PLANT.Water Figwort;0;0;0;0;0;0;0;0;0;2;0;0
01PLANT.Wavy Bittercress;0;0;0;0;0;0;0;0;0;0;0;1
01PLANT.Wayfaring-tree;0;0;0;0;0;5;10;0;0;0;0;0
01PLANT.White Dead-nettle;0;0;0;0;0;0;0;0;0;9;0;3
01PLANT.Wild Privet;0;0;0;0;0;48;48;0;0;0;0;96
01PLANT.Willowherb sp;36;18;0;0;18;0;36;0;18;36;0;18
01PLANT.Woodruff;0;0;0;0;0;0;0;0;0;0;0;3
01PLANT.Yellow Archangel;0;0;0;0;0;10;0;0;0;0;0;10
01PLANT.zCROP Barley;9;0;0;0;0;0;0;9;0;0;0;0
01PLANT.zCROP Lucerne;70;0;140;0;210;0;210;0;0;70;0;0
01PLANT.zCROP Oat spring;12;0;0;0;0;0;0;0;0;0;0;0
01PLANT.zCROP Oat winter;28;0;0;0;0;0;0;0;0;0;0;0
01PLANT.zCROP Triticale;32;0;0;0;0;0;0;0;0;0;0;0
01PLANT.zCROP Wheat;158;158;0;0;0;158;0;0;79;0;0;0
