"node_id","node_name","taxon","biomass.g"
1,"Ash","Plant",NA
2,"Autumn Hawkbit","Plant",NA
3,"Bindweed sp","Plant",NA
4,"Black Bindweed","Plant",NA
5,"Blackthorn","Plant",NA
6,"Bluebell","Plant",NA
7,"Bramble","Plant",NA
8,"Bristly Oxtongue","Plant",NA
9,"Bugle","Plant",NA
10,"Bush Vetch","Plant",NA
11,"Charlock","Plant",NA
12,"Chenopodium sp","Plant",NA
13,"Cleavers","Plant",NA
14,"Clover sp","Plant",NA
15,"Common Bird's-foot-trefoil","Plant",NA
16,"Common Chickweed","Plant",NA
17,"Common Field Speedwell","Plant",NA
18,"Common Fleabane","Plant",NA
19,"Common Mouse-ear","Plant",NA
20,"Common Poppy","Plant",NA
21,"Common Vetch","Plant",NA
22,"Corn Mint","Plant",NA
23,"Corn Sowthistle","Plant",NA
24,"Corn Spurrey","Plant",NA
25,"Cow Parsley","Plant",NA
26,"Creeping Buttercup","Plant",NA
27,"Creeping Cinquefoil","Plant",NA
28,"Creeping Thistle","Plant",NA
29,"Cuckooflower","Plant",NA
30,"Cut-leaved Crane's-bill","Plant",NA
31,"Daisy","Plant",NA
32,"Dandelion","Plant",NA
33,"Dock sp","Plant",NA
34,"Dog's Mercury","Plant",NA
35,"Dogwood","Plant",NA
36,"Elder","Plant",NA
37,"Elm sp","Plant",NA
38,"Field Forget-me-not","Plant",NA
39,"Field Madder","Plant",NA
40,"Field Maple","Plant",NA
41,"Field Pansy","Plant",NA
42,"Garlic Mustard","Plant",NA
43,"Germander Speedwell","Plant",NA
44,"Grass sp","Plant",NA
45,"Ground Ivy","Plant",NA
46,"Groundsel","Plant",NA
47,"Hairy Tare","Plant",NA
48,"Hawkish Complex sp","Plant",NA
49,"Hawthorn","Plant",NA
50,"Hazel","Plant",NA
51,"Hedge Woundwort","Plant",NA
52,"Herb Bennet","Plant",NA
53,"Herb Robert","Plant",NA
54,"Hogweed","Plant",NA
55,"Honeysuckle","Plant",NA
56,"Ivy-leaved Speedwell","Plant",NA
57,"Knotgrass sp","Plant",NA
58,"Lesser Burdock","Plant",NA
59,"Lesser Stitchwort","Plant",NA
60,"Lesser Trefoil","Plant",NA
61,"Mayweed sp","Plant",NA
62,"Meadow Buttercup","Plant",NA
63,"Nipplewort","Plant",NA
64,"Oak","Plant",NA
65,"Oil Seed Rape","Plant",NA
66,"Parsley Piert","Plant",NA
67,"Persicaria sp","Plant",NA
68,"Pineappleweed","Plant",NA
69,"Plantain sp","Plant",NA
70,"Ragwort","Plant",NA
71,"Red Campion","Plant",NA
72,"Red Dead-nettle","Plant",NA
73,"Rose sp","Plant",NA
74,"Rough Chervil","Plant",NA
75,"Selfheal","Plant",NA
76,"Shepherd's Purse","Plant",NA
77,"Sow-thistle sp","Plant",NA
78,"Spear Thistle","Plant",NA
79,"Spindle","Plant",NA
80,"Stinging Nettle","Plant",NA
81,"Sun Spurge","Plant",NA
82,"Sycamore","Plant",NA
83,"Teasel","Plant",NA
84,"Traveller's Joy","Plant",NA
85,"Upright Hedge-parsley","Plant",NA
86,"Wall Speedwell","Plant",NA
87,"Water Figwort","Plant",NA
88,"Wayfaring-tree","Plant",NA
89,"White Dead-nettle","Plant",NA
90,"Wild Privet","Plant",NA
91,"Willowherb sp","Plant",NA
92,"Woodruff","Plant",NA
93,"Yellow Archangel","Plant",NA
94," Barley","Crop",200
95," Lucerne","Crop",500
96," Oat spring","Crop",300
97," Oat winter","Crop",300
98," Triticale","Crop",500
99," Wheat","Crop",250
100,"Agriotes pallidulus","Flower-visiting",0.01966667
101,"Alysiinae sp","Flower-visiting",0.00440259571428571
102,"Anapausis soluta","Flower-visiting",0.00440259571428571
103,"Anaspis maculata","Flower-visiting",0.00440259571428571
104,"Anaspis pulicaria","Flower-visiting",0.00440259571428571
105,"Andrena dorsata","Flower-visiting",0.343
106,"Andrena minutula","Flower-visiting",0.1635
107,"Anthocomus fasciatus","Flower-visiting",0.00440259571428571
108,"Anthomyia liturata","Flower-visiting",0.00440259571428571
109,"Anthomyia pluvialis","Flower-visiting",0.00440259571428571
110,"Anthomyza gracilis","Flower-visiting",0.00440259571428571
111,"Anthophila fabriciana","Flower-visiting",0.00440259571428571
112,"Apis mellifera","Flower-visiting",0.50625
113,"Aprostocetus sp","Flower-visiting",8e-05
114,"Asecodes coronis","Flower-visiting",0.00440259571428571
115,"Authonomus rubi","Flower-visiting",0.00440259571428571
116,"Azelia cilipes","Flower-visiting",0.00440259571428571
117,"Azelia zetterstedtii","Flower-visiting",0.00440259571428571
118,"Baccha elongate","Flower-visiting",0.77820202020202
119,"Bellardia pandia","Flower-visiting",0.00440259571428571
120,"Bicellaria vana","Flower-visiting",0.00440259571428571
121,"Bicellaria varia","Flower-visiting",0.00440259571428571
122,"Bombus hortorum","Flower-visiting",0.656666666666667
123,"Bombus lapidarius","Flower-visiting",0.615121951219512
124,"Bombus pascuorum","Flower-visiting",0.673046511627907
125,"Bombus pratorum","Flower-visiting",0.55324
126,"Bombus terrestris","Flower-visiting",0.738241379310345
127,"Bombus vestalis","Flower-visiting",0.675333333333333
128,"Botanophila fugax","Flower-visiting",0.00440259571428571
129,"Botanophila striolata","Flower-visiting",0.00440259571428571
130,"Brachypterus urticae","Flower-visiting",0.00440259571428571
131,"Bracon sp","Flower-visiting",0.0025
132,"Bruchus rufimanus","Flower-visiting",0.00440259571428571
133,"Byturus tomentosus","Flower-visiting",0.00440259571428571
134,"Calliphora vicina","Flower-visiting",0.00440259571428571
135,"Calliphora vomitoria","Flower-visiting",0.00440259571428571
136,"Cantharis decipiens","Flower-visiting",0.00440259571428571
137,"Cantharis lateralis","Flower-visiting",0.00440259571428571
138,"Cantharis nigra","Flower-visiting",0.00440259571428571
139,"Cecidomyiidae sp","Flower-visiting",0.00440259571428571
140,"Centrorhynchus obstrictus","Flower-visiting",0.00440259571428571
141,"Cephus pygmaeus","Flower-visiting",0.00440259571428571
142,"Ceraphron trissacantha","Flower-visiting",0.00440259571428571
143,"Cetema elongata","Flower-visiting",0.00440259571428571
144,"Cheilosia albitarsis","Flower-visiting",0.77820202020202
145,"Cheilosia honesta","Flower-visiting",0.77820202020202
146,"Cheilosia illustrata","Flower-visiting",0.77820202020202
147,"Cheilosia pagana","Flower-visiting",0.77820202020202
148,"Cheilosia proxima","Flower-visiting",0.77820202020202
149,"Cheilosia proxima group sp  D","Flower-visiting",NA
150,"Chloromyia formosa","Flower-visiting",0.00440259571428571
151,"Chlorops hypostigma","Flower-visiting",0.00440259571428571
152,"Chlorops pumilionis","Flower-visiting",0.00440259571428571
153,"Chorebus sp","Flower-visiting",0.00440259571428571
154,"Chorebus sp nov","Flower-visiting",0.00440259571428571
155,"Chromatomyia nigra","Flower-visiting",0.00440259571428571
156,"Chrysopilus asiliformis","Flower-visiting",0.00440259571428571
157,"Chrysotoxum bicinctum","Flower-visiting",0.678
158,"Chrysotus sp","Flower-visiting",0.00440259571428571
159,"Coccinella septempunctata","Flower-visiting",0.00440259571428571
160,"Coenosia tigrina","Flower-visiting",0.00440259571428571
161,"Copromyza similes","Flower-visiting",0.00440259571428571
162,"Crossopalpus sp","Flower-visiting",0.00440259571428571
163,"Dacnusa (maculipes)","Flower-visiting",0.00440259571428571
164,"Delia sp","Flower-visiting",0.00440259571428571
165,"Demetrias atricapillus","Flower-visiting",0.00440259571428571
166,"Desmometopa sp","Flower-visiting",0.00440259571428571
167,"Dicraeus tibialis","Flower-visiting",0.00440259571428571
168,"Dicraeus vagans","Flower-visiting",0.00440259571428571
169,"Dilophus febrilis","Flower-visiting",0.00440259571428571
170,"Diospilus capito","Flower-visiting",0.00440259571428571
171,"Diplonevra sp","Flower-visiting",0.00440259571428571
172,"Dolerus haematodes","Flower-visiting",0.00440259571428571
173,"Dolichopus festivus","Flower-visiting",0.00440259571428571
174,"Dolichopus ungulatus","Flower-visiting",0.00440259571428571
175,"Ectemnius cephalotes","Flower-visiting",0.00440259571428571
176,"Empis (Xanthempis) sp","Flower-visiting",0.00440259571428571
177,"Empis caudatula","Flower-visiting",0.00440259571428571
178,"Empis chioptera","Flower-visiting",0.00440259571428571
179,"Empis livida","Flower-visiting",0.00440259571428571
180,"Empis nigripes","Flower-visiting",0.00440259571428571
181,"Empis nuntia","Flower-visiting",0.00440259571428571
182,"Endasys sp","Flower-visiting",0.00440259571428571
183,"Episyrphus balteatus","Flower-visiting",0.6738
184,"Epuraea melanocephala","Flower-visiting",0.00440259571428571
185,"Eriothrix rufomaculata","Flower-visiting",0.00440259571428571
186,"Eristalis arbustorum","Flower-visiting",0.993111111111111
187,"Eristalis pertinax","Flower-visiting",1.007
188,"Eristalis tenax","Flower-visiting",0.876363636363636
189,"Eudasyphora cyanella","Flower-visiting",0.00440259571428571
190,"Eupeodes corollae","Flower-visiting",0.7942
191,"Eupeodes luniger","Flower-visiting",0.28775
192,"Fannia serena","Flower-visiting",0.00440259571428571
193,"Fannia sp","Flower-visiting",0.00440259571428571
194,"Formicidae A","Flower-visiting",0.00440259571428571
195,"Formicidae B","Flower-visiting",0.00440259571428571
196,"Gastrophysa viridular","Flower-visiting",0.00440259571428571
197,"Geomyza tripunctata","Flower-visiting",0.00440259571428571
198,"Glyphipterix simpliciella","Flower-visiting",0.00440259571428571
199,"Grammoptera ruficornis","Flower-visiting",0.005143
200,"Halticoptera sp","Flower-visiting",0.00440259571428571
201,"Helina sp","Flower-visiting",0.00440259571428571
202,"Helophilus pendulus","Flower-visiting",1.01766666666667
203,"Helophilus trivittatus","Flower-visiting",1.03
204,"Hemicrepidius hirtus","Flower-visiting",0.00440259571428571
205,"Hercostomus parvilamellatus","Flower-visiting",0.00440259571428571
206,"Herina longistylata","Flower-visiting",0.00440259571428571
207,"Heteronychia vagans","Flower-visiting",0.00440259571428571
208,"Hexacola hexatoma","Flower-visiting",0.00440259571428571
209,"Hydrellia griseola","Flower-visiting",0.00440259571428571
210,"Hydrellia maura","Flower-visiting",0.00440259571428571
211,"Hylaeus communis","Flower-visiting",0.229
212,"Hylaeus hyalinatus","Flower-visiting",0.515339984215776
213,"Hylemya urbica/variata","Flower-visiting",0.00440259571428571
214,"Hylemya vagans","Flower-visiting",0.00440259571428571
215,"Hylemya variata","Flower-visiting",0.00440259571428571
216,"Ichneumonidae","Flower-visiting",0.00440259571428571
217,"Kleidotoma tetratoma","Flower-visiting",0.00440259571428571
218,"Kuzinia sp","Flower-visiting",0.00440259571428571
219,"Lasioglossum sp","Flower-visiting",0.515339984215776
220,"Limnia unguicornis","Flower-visiting",0.00440259571428571
221,"Limnophora triangula","Flower-visiting",0.00440259571428571
222,"Lonchoptera lutea","Flower-visiting",0.00440259571428571
223,"Longitarsus sp","Flower-visiting",0.00440259571428571
224,"Lotophila atra","Flower-visiting",0.00440259571428571
225,"Lucilia caesar","Flower-visiting",0.00440259571428571
226,"Lucilia richardsi","Flower-visiting",0.00440259571428571
227,"Lucilia sericata","Flower-visiting",0.00440259571428571
228,"Malachius bipustulatus","Flower-visiting",0.00440259571428571
229,"Malthodes minimus","Flower-visiting",0.00440259571428571
230,"Megaselia sp","Flower-visiting",0.00440259571428571
231,"Melangyna sp","Flower-visiting",0.77820202020202
232,"Melanostoma mellinum","Flower-visiting",0.740583333333333
233,"Melanostoma scalare","Flower-visiting",0.911272727272727
234,"Melanostoma sp","Flower-visiting",0.77820202020202
235,"Melinda viridicyanea","Flower-visiting",0.00440259571428571
236,"Metasyrphus luniger","Flower-visiting",0.77820202020202
237,"Metopina sp","Flower-visiting",0.00440259571428571
238,"Microchrysa polita","Flower-visiting",0.00440259571428571
239,"Microphor anomalus","Flower-visiting",0.00440259571428571
240,"Micropterix calthella","Flower-visiting",0.00440259571428571
241,"Miscogaster maculata","Flower-visiting",0.00440259571428571
242,"Musca autumnalis","Flower-visiting",0.00440259571428571
243,"Neoascia podagrica","Flower-visiting",0.77820202020202
244,"Neomyia cornicina","Flower-visiting",0.00440259571428571
245,"Neomyia viridescens","Flower-visiting",0.00440259571428571
246,"Norellisoma spinimanum","Flower-visiting",0.00440259571428571
247,"Oedemera lurida","Flower-visiting",0.00440259571428571
248,"Oedemera nobilis","Flower-visiting",0.00440259571428571
249,"Olibrus aeneus","Flower-visiting",0.000251
250,"Omphalapion hookerorum","Flower-visiting",0.00440259571428571
251,"Ophiomyia sp","Flower-visiting",0.00440259571428571
252,"Opomyza germinationis","Flower-visiting",0.00440259571428571
253,"Opomyza petrei","Flower-visiting",0.00440259571428571
254,"Oscinella cariciphila","Flower-visiting",0.00440259571428571
255,"Oscinella frit","Flower-visiting",0.00440259571428571
256,"Oscinella hortensis","Flower-visiting",0.00440259571428571
257,"Oscinella nigerrima","Flower-visiting",0.00440259571428571
258,"Oscinella nitidissima","Flower-visiting",0.00440259571428571
259,"Pegoplata aestiva or Adia cinerella","Flower-visiting",0.00440259571428571
260,"Pegoplata depilis","Flower-visiting",0.00440259571428571
261,"Pegoplata infirma","Flower-visiting",0.00440259571428571
262,"Phaenocarpa (ruficeps)","Flower-visiting",0.00440259571428571
263,"Phaonia lasiophthalma","Flower-visiting",0.00440259571428571
264,"Phasia obesa","Flower-visiting",0.00440259571428571
265,"Phasia pusilla","Flower-visiting",0.00440259571428571
266,"Phradis morionellus","Flower-visiting",0.00440259571428571
267,"Phyllobius virideaeris","Flower-visiting",0.00440259571428571
268,"Phyllonorycter sp","Flower-visiting",0.00440259571428571
269,"Phytomyza cineracea","Flower-visiting",0.00440259571428571
270,"Phytomyza notata","Flower-visiting",0.00440259571428571
271,"Pierretia sp","Flower-visiting",0.00440259571428571
272,"Pimpla contemplator","Flower-visiting",0.00440259571428571
273,"Pionini sp","Flower-visiting",0.00440259571428571
274,"Pipiza noctiluca","Flower-visiting",0.972
275,"Plagiatrochus sp","Flower-visiting",0.00440259571428571
276,"Platycheirus albimanus","Flower-visiting",0.444111111111111
277,"Platycheirus clypeatus","Flower-visiting",0.5485
278,"Platycheirus manicatus","Flower-visiting",0.77820202020202
279,"Platycheirus nielseni","Flower-visiting",0.77820202020202
280,"Platycheirus peltatus","Flower-visiting",0.77820202020202
281,"Platycheirus scutatus","Flower-visiting",0.77820202020202
282,"Platycheirus sp","Flower-visiting",0.77820202020202
283,"Platypalpus sp","Flower-visiting",0.00440259571428571
284,"Pollenia amentaria","Flower-visiting",0.00440259571428571
285,"Pollenia pediculata","Flower-visiting",0.00440259571428571
286,"Pollenia rudis","Flower-visiting",0.00440259571428571
287,"Psallinae sp","Flower-visiting",0.00440259571428571
288,"Psocoptera sp","Flower-visiting",0.00440259571428571
289,"Psychodidae sp","Flower-visiting",0.00440259571428571
290,"Psyllidae sp","Flower-visiting",0.00440259571428571
291,"Pteromalidae","Flower-visiting",0.00440259571428571
292,"Rhagio notatus","Flower-visiting",0.00440259571428571
293,"Rhagio tringarius","Flower-visiting",0.00440259571428571
294,"Rhagonycha fulva","Flower-visiting",0.0015275
