"node_name","node_id","taxon"
"01PLANT.Ash",1,"Plant"
"01PLANT.Autumn Hawkbit",2,"Plant"
"01PLANT.Bindweed sp",3,"Plant"
"01PLANT.Black Bindweed",4,"Plant"
"01PLANT.Blackthorn",5,"Plant"
"01PLANT.Bluebell",6,"Plant"
"01PLANT.Bramble",7,"Plant"
"01PLANT.Bristly Oxtongue",8,"Plant"
"01PLANT.Bugle",9,"Plant"
"01PLANT.Bush Vetch",10,"Plant"
"01PLANT.Charlock",11,"Plant"
"01PLANT.Chenopodium sp",12,"Plant"
"01PLANT.Cleavers",13,"Plant"
"01PLANT.Clover sp",14,"Plant"
"01PLANT.Common Bird's-foot-trefoil",15,"Plant"
"01PLANT.Common Chickweed",16,"Plant"
"01PLANT.Common Field Speedwell",17,"Plant"
"01PLANT.Common Fleabane",18,"Plant"
"01PLANT.Common Mouse-ear",19,"Plant"
"01PLANT.Common Poppy",20,"Plant"
"01PLANT.Common Vetch",21,"Plant"
"01PLANT.Corn Mint",22,"Plant"
"01PLANT.Corn Sowthistle",23,"Plant"
"01PLANT.Corn Spurrey",24,"Plant"
"01PLANT.Cow Parsley",25,"Plant"
"01PLANT.Creeping Buttercup",26,"Plant"
"01PLANT.Creeping Cinquefoil",27,"Plant"
"01PLANT.Creeping Thistle",28,"Plant"
"01PLANT.Cuckooflower",29,"Plant"
"01PLANT.Cut-leaved Crane's-bill",30,"Plant"
"01PLANT.Daisy",31,"Plant"
"01PLANT.Dandelion",32,"Plant"
"01PLANT.Dock sp",33,"Plant"
"01PLANT.Dog's Mercury",34,"Plant"
"01PLANT.Dogwood",35,"Plant"
"01PLANT.Elder",36,"Plant"
"01PLANT.Elm sp",37,"Plant"
"01PLANT.Field Forget-me-not",38,"Plant"
"01PLANT.Field Madder",39,"Plant"
"01PLANT.Field Maple",40,"Plant"
"01PLANT.Field Pansy",41,"Plant"
"01PLANT.Garlic Mustard",42,"Plant"
"01PLANT.Germander Speedwell",43,"Plant"
"01PLANT.Grass sp",44,"Plant"
"01PLANT.Ground Ivy",45,"Plant"
"01PLANT.Groundsel",46,"Plant"
"01PLANT.Hairy Tare",47,"Plant"
"01PLANT.Hawkish Complex sp",48,"Plant"
"01PLANT.Hawthorn",49,"Plant"
"01PLANT.Hazel",50,"Plant"
"01PLANT.Hedge Woundwort",51,"Plant"
"01PLANT.Herb Bennet",52,"Plant"
"01PLANT.Herb Robert",53,"Plant"
"01PLANT.Hogweed",54,"Plant"
"01PLANT.Honeysuckle",55,"Plant"
"01PLANT.Ivy-leaved Speedwell",56,"Plant"
"01PLANT.Knotgrass sp",57,"Plant"
"01PLANT.Lesser Burdock",58,"Plant"
"01PLANT.Lesser Stitchwort",59,"Plant"
"01PLANT.Lesser Trefoil",60,"Plant"
"01PLANT.Mayweed sp",61,"Plant"
"01PLANT.Meadow Buttercup",62,"Plant"
"01PLANT.Nipplewort",63,"Plant"
"01PLANT.Oak",64,"Plant"
"01PLANT.Oil Seed Rape",65,"Plant"
"01PLANT.Parsley Piert",66,"Plant"
"01PLANT.Persicaria sp",67,"Plant"
"01PLANT.Pineappleweed",68,"Plant"
"01PLANT.Plantain sp",69,"Plant"
"01PLANT.Ragwort",70,"Plant"
"01PLANT.Red Campion",71,"Plant"
"01PLANT.Red Dead-nettle",72,"Plant"
"01PLANT.Rose sp",73,"Plant"
"01PLANT.Rough Chervil",74,"Plant"
"01PLANT.Selfheal",75,"Plant"
"01PLANT.Shepherd's Purse",76,"Plant"
"01PLANT.Sow-thistle sp",77,"Plant"
"01PLANT.Spear Thistle",78,"Plant"
"01PLANT.Spindle",79,"Plant"
"01PLANT.Stinging Nettle",80,"Plant"
"01PLANT.Sun Spurge",81,"Plant"
"01PLANT.Sycamore",82,"Plant"
"01PLANT.Teasel",83,"Plant"
"01PLANT.Traveller's Joy",84,"Plant"
"01PLANT.Upright Hedge-parsley",85,"Plant"
"01PLANT.Wall Speedwell",86,"Plant"
"01PLANT.Water Figwort",87,"Plant"
"01PLANT.Wayfaring-tree",88,"Plant"
"01PLANT.White Dead-nettle",89,"Plant"
"01PLANT.Wild Privet",90,"Plant"
"01PLANT.Willowherb sp",91,"Plant"
"01PLANT.Woodruff",92,"Plant"
"01PLANT.Yellow Archangel",93,"Plant"
"01PLANT.zCROP Barley",94,"Crop"
"01PLANT.zCROP Lucerne",95,"Crop"
"01PLANT.zCROP Oat spring",96,"Crop"
"01PLANT.zCROP Oat winter",97,"Crop"
"01PLANT.zCROP Triticale",98,"Crop"
"01PLANT.zCROP Wheat",99,"Crop"
"02FV.Agriotes pallidulus",100,"Flower-visiting"
"02FV.Alysiinae sp",101,"Flower-visiting"
"02FV.Anapausis soluta",102,"Flower-visiting"
"02FV.Anaspis maculata",103,"Flower-visiting"
"02FV.Anaspis pulicaria",104,"Flower-visiting"
"02FV.Andrena dorsata",105,"Flower-visiting"
"02FV.Andrena minutula",106,"Flower-visiting"
"02FV.Anthocomus fasciatus",107,"Flower-visiting"
"02FV.Anthomyia liturata",108,"Flower-visiting"
"02FV.Anthomyia pluvialis",109,"Flower-visiting"
"02FV.Anthomyza gracilis",110,"Flower-visiting"
"02FV.Anthophila fabriciana",111,"Flower-visiting"
"02FV.Apis mellifera",112,"Flower-visiting"
"02FV.Aprostocetus sp",113,"Flower-visiting"
"02FV.Asecodes coronis",114,"Flower-visiting"
"02FV.Authonomus rubi",115,"Flower-visiting"
"02FV.Azelia cilipes",116,"Flower-visiting"
"02FV.Azelia zetterstedtii",117,"Flower-visiting"
"02FV.Baccha elongate",118,"Flower-visiting"
"02FV.Bellardia pandia",119,"Flower-visiting"
"02FV.Bicellaria vana",120,"Flower-visiting"
"02FV.Bicellaria varia",121,"Flower-visiting"
"02FV.Bombus hortorum",122,"Flower-visiting"
"02FV.Bombus lapidarius",123,"Flower-visiting"
"02FV.Bombus pascuorum",124,"Flower-visiting"
"02FV.Bombus pratorum",125,"Flower-visiting"
"02FV.Bombus terrestris",126,"Flower-visiting"
"02FV.Bombus vestalis",127,"Flower-visiting"
"02FV.Botanophila fugax",128,"Flower-visiting"
"02FV.Botanophila striolata",129,"Flower-visiting"
"02FV.Brachypterus urticae",130,"Flower-visiting"
"02FV.Bracon sp",131,"Flower-visiting"
"02FV.Bruchus rufimanus",132,"Flower-visiting"
"02FV.Byturus tomentosus",133,"Flower-visiting"
"02FV.Calliphora vicina",134,"Flower-visiting"
"02FV.Calliphora vomitoria",135,"Flower-visiting"
"02FV.Cantharis decipiens",136,"Flower-visiting"
"02FV.Cantharis lateralis",137,"Flower-visiting"
"02FV.Cantharis nigra",138,"Flower-visiting"
"02FV.Cecidomyiidae sp",139,"Flower-visiting"
"02FV.Centrorhynchus obstrictus",140,"Flower-visiting"
"02FV.Cephus pygmaeus",141,"Flower-visiting"
"02FV.Ceraphron trissacantha",142,"Flower-visiting"
"02FV.Cetema elongata",143,"Flower-visiting"
"02FV.Cheilosia albitarsis",144,"Flower-visiting"
"02FV.Cheilosia honesta",145,"Flower-visiting"
"02FV.Cheilosia illustrata",146,"Flower-visiting"
"02FV.Cheilosia pagana",147,"Flower-visiting"
"02FV.Cheilosia proxima",148,"Flower-visiting"
"02FV.Cheilosia proxima group sp. D",149,"Flower-visiting"
"02FV.Chloromyia formosa",150,"Flower-visiting"
"02FV.Chlorops hypostigma",151,"Flower-visiting"
"02FV.Chlorops pumilionis",152,"Flower-visiting"
"02FV.Chorebus sp",153,"Flower-visiting"
"02FV.Chorebus sp nov",154,"Flower-visiting"
"02FV.Chromatomyia nigra",155,"Flower-visiting"
"02FV.Chrysopilus asiliformis",156,"Flower-visiting"
"02FV.Chrysotoxum bicinctum",157,"Flower-visiting"
"02FV.Chrysotus sp",158,"Flower-visiting"
"02FV.Coccinella septempunctata",159,"Flower-visiting"
"02FV.Coenosia tigrina",160,"Flower-visiting"
"02FV.Copromyza similes",161,"Flower-visiting"
"02FV.Crossopalpus sp",162,"Flower-visiting"
"02FV.Dacnusa (maculipes)",163,"Flower-visiting"
"02FV.Delia sp",164,"Flower-visiting"
"02FV.Demetrias atricapillus",165,"Flower-visiting"
"02FV.Desmometopa sp",166,"Flower-visiting"
"02FV.Dicraeus tibialis",167,"Flower-visiting"
"02FV.Dicraeus vagans",168,"Flower-visiting"
"02FV.Dilophus febrilis",169,"Flower-visiting"
"02FV.Diospilus capito",170,"Flower-visiting"
"02FV.Diplonevra sp",171,"Flower-visiting"
"02FV.Dolerus haematodes",172,"Flower-visiting"
"02FV.Dolichopus festivus",173,"Flower-visiting"
"02FV.Dolichopus ungulatus",174,"Flower-visiting"
"02FV.Ectemnius cephalotes",175,"Flower-visiting"
"02FV.Empis (Xanthempis) sp",176,"Flower-visiting"
"02FV.Empis caudatula",177,"Flower-visiting"
"02FV.Empis chioptera",178,"Flower-visiting"
"02FV.Empis livida",179,"Flower-visiting"
"02FV.Empis nigripes",180,"Flower-visiting"
"02FV.Empis nuntia",181,"Flower-visiting"
"02FV.Endasys sp",182,"Flower-visiting"
"02FV.Episyrphus balteatus",183,"Flower-visiting"
"02FV.Epuraea melanocephala",184,"Flower-visiting"
"02FV.Eriothrix rufomaculata",185,"Flower-visiting"
"02FV.Eristalis arbustorum",186,"Flower-visiting"
"02FV.Eristalis pertinax",187,"Flower-visiting"
"02FV.Eristalis tenax",188,"Flower-visiting"
"02FV.Eudasyphora cyanella",189,"Flower-visiting"
"02FV.Eupeodes corollae",190,"Flower-visiting"
"02FV.Eupeodes luniger",191,"Flower-visiting"
"02FV.Fannia serena",192,"Flower-visiting"
"02FV.Fannia sp",193,"Flower-visiting"
"02FV.Formicidae A",194,"Flower-visiting"
"02FV.Formicidae B",195,"Flower-visiting"
"02FV.Gastrophysa viridular",196,"Flower-visiting"
"02FV.Geomyza tripunctata",197,"Flower-visiting"
"02FV.Glyphipterix simpliciella",198,"Flower-visiting"
"02FV.Grammoptera ruficornis",199,"Flower-visiting"
"02FV.Halticoptera sp",200,"Flower-visiting"
"02FV.Helina sp",201,"Flower-visiting"
"02FV.Helophilus pendulus",202,"Flower-visiting"
"02FV.Helophilus trivittatus",203,"Flower-visiting"
"02FV.Hemicrepidius hirtus",204,"Flower-visiting"
"02FV.Hercostomus parvilamellatus",205,"Flower-visiting"
"02FV.Herina longistylata",206,"Flower-visiting"
"02FV.Heteronychia vagans",207,"Flower-visiting"
"02FV.Hexacola hexatoma",208,"Flower-visiting"
"02FV.Hydrellia griseola",209,"Flower-visiting"
"02FV.Hydrellia maura",210,"Flower-visiting"
"02FV.Hylaeus communis",211,"Flower-visiting"
"02FV.Hylaeus hyalinatus",212,"Flower-visiting"
"02FV.Hylemya urbica/variata",213,"Flower-visiting"
"02FV.Hylemya vagans",214,"Flower-visiting"
"02FV.Hylemya variata",215,"Flower-visiting"
"02FV.Ichneumonidae",216,"Flower-visiting"
"02FV.Kleidotoma tetratoma",217,"Flower-visiting"
"02FV.Kuzinia sp",218,"Flower-visiting"
"02FV.Lasioglossum sp",219,"Flower-visiting"
"02FV.Limnia unguicornis",220,"Flower-visiting"
"02FV.Limnophora triangula",221,"Flower-visiting"
"02FV.Lonchoptera lutea",222,"Flower-visiting"
"02FV.Longitarsus sp",223,"Flower-visiting"
"02FV.Lotophila atra",224,"Flower-visiting"
"02FV.Lucilia caesar",225,"Flower-visiting"
"02FV.Lucilia richardsi",226,"Flower-visiting"
"02FV.Lucilia sericata",227,"Flower-visiting"
"02FV.Malachius bipustulatus",228,"Flower-visiting"
"02FV.Malthodes minimus",229,"Flower-visiting"
"02FV.Megaselia sp",230,"Flower-visiting"
"02FV.Melangyna sp",231,"Flower-visiting"
"02FV.Melanostoma mellinum",232,"Flower-visiting"
"02FV.Melanostoma scalare",233,"Flower-visiting"
"02FV.Melanostoma sp",234,"Flower-visiting"
"02FV.Melinda viridicyanea",235,"Flower-visiting"
"02FV.Metasyrphus luniger",236,"Flower-visiting"
"02FV.Metopina sp",237,"Flower-visiting"
"02FV.Microchrysa polita",238,"Flower-visiting"
"02FV.Microphor anomalus",239,"Flower-visiting"
"02FV.Micropterix calthella",240,"Flower-visiting"
"02FV.Miscogaster maculata",241,"Flower-visiting"
"02FV.Musca autumnalis",242,"Flower-visiting"
"02FV.Neoascia podagrica",243,"Flower-visiting"
"02FV.Neomyia cornicina",244,"Flower-visiting"
"02FV.Neomyia viridescens",245,"Flower-visiting"
"02FV.Norellisoma spinimanum",246,"Flower-visiting"
"02FV.Oedemera lurida",247,"Flower-visiting"
"02FV.Oedemera nobilis",248,"Flower-visiting"
"02FV.Olibrus aeneus",249,"Flower-visiting"
"02FV.Omphalapion hookerorum",250,"Flower-visiting"
"02FV.Ophiomyia sp",251,"Flower-visiting"
"02FV.Opomyza germinationis",252,"Flower-visiting"
"02FV.Opomyza petrei",253,"Flower-visiting"
"02FV.Oscinella cariciphila",254,"Flower-visiting"
"02FV.Oscinella frit",255,"Flower-visiting"
"02FV.Oscinella hortensis",256,"Flower-visiting"
"02FV.Oscinella nigerrima",257,"Flower-visiting"
"02FV.Oscinella nitidissima",258,"Flower-visiting"
"02FV.Pegoplata aestiva or Adia cinerella",259,"Flower-visiting"
"02FV.Pegoplata depilis",260,"Flower-visiting"
"02FV.Pegoplata infirma",261,"Flower-visiting"
"02FV.Phaenocarpa (ruficeps)",262,"Flower-visiting"
"02FV.Phaonia lasiophthalma",263,"Flower-visiting"
"02FV.Phasia obesa",264,"Flower-visiting"
"02FV.Phasia pusilla",265,"Flower-visiting"
"02FV.Phradis morionellus",266,"Flower-visiting"
"02FV.Phyllobius virideaeris",267,"Flower-visiting"
"02FV.Phyllonorycter sp",268,"Flower-visiting"
"02FV.Phytomyza cineracea",269,"Flower-visiting"
"02FV.Phytomyza notata",270,"Flower-visiting"
"02FV.Pierretia sp",271,"Flower-visiting"
"02FV.Pimpla contemplator",272,"Flower-visiting"
"02FV.Pionini sp",273,"Flower-visiting"
"02FV.Pipiza noctiluca",274,"Flower-visiting"
"02FV.Plagiatrochus sp",275,"Flower-visiting"
"02FV.Platycheirus albimanus",276,"Flower-visiting"
"02FV.Platycheirus clypeatus",277,"Flower-visiting"
"02FV.Platycheirus manicatus",278,"Flower-visiting"
"02FV.Platycheirus nielseni",279,"Flower-visiting"
"02FV.Platycheirus peltatus",280,"Flower-visiting"
"02FV.Platycheirus scutatus",281,"Flower-visiting"
"02FV.Platycheirus sp",282,"Flower-visiting"
"02FV.Platypalpus sp",283,"Flower-visiting"
"02FV.Pollenia amentaria",284,"Flower-visiting"
"02FV.Pollenia pediculata",285,"Flower-visiting"
"02FV.Pollenia rudis",286,"Flower-visiting"
"02FV.Psallinae sp",287,"Flower-visiting"
"02FV.Psocoptera sp",288,"Flower-visiting"
"02FV.Psychodidae sp",289,"Flower-visiting"
"02FV.Psyllidae sp",290,"Flower-visiting"
"02FV.Pteromalidae",291,"Flower-visiting"
"02FV.Rhagio notatus",292,"Flower-visiting"
"02FV.Rhagio tringarius",293,"Flower-visiting"
"02FV.Rhagonycha fulva",294,"Flower-visiting"
"02FV.Rhingia campestris",295,"Flower-visiting"
"02FV.Rhinophora lepida",296,"Flower-visiting"
"02FV.Rhoptromeris heptoma",297,"Flower-visiting"
"02FV.Rhoptromeris rufiventris",298,"Flower-visiting"
"02FV.Saltella sphondylii",299,"Flower-visiting"
"02FV.Sarcophaga carnaria",300,"Flower-visiting"
"02FV.Scaptomyza flava",301,"Flower-visiting"
"02FV.Scaptomyza pallida",302,"Flower-visiting"
"02FV.Scathophaga stercoraria",303,"Flower-visiting"
"02FV.Scatopsidae sp",304,"Flower-visiting"
"02FV.Sciaridae sp",305,"Flower-visiting"
"02FV.Sepsis cynipsea or neocynipsea",306,"Flower-visiting"
"02FV.Sepsis flavimana",307,"Flower-visiting"
"02FV.Sepsis fulgens",308,"Flower-visiting"
"02FV.Sepsis orthocnemis",309,"Flower-visiting"
