lower,upper,weight
MH,01PLANT.Ash,1
WD,01PLANT.Ash,1
GM,01PLANT.Autumn Hawkbit,1
PP,01PLANT.Autumn Hawkbit,1
GM,01PLANT.Bindweed sp,1
MH,01PLANT.Bindweed sp,1
RG,01PLANT.Bindweed sp,1
NH,01PLANT.Black Bindweed,1
MH,01PLANT.Blackthorn,1
NH,01PLANT.Blackthorn,1
WD,01PLANT.Blackthorn,1
MH,01PLANT.Bluebell,1
WD,01PLANT.Bluebell,1
MH,01PLANT.Bramble,1
NH,01PLANT.Bramble,1
RG,01PLANT.Bramble,1
WD,01PLANT.Bramble,1
WD,01PLANT.Bugle,1
NH,01PLANT.Bush Vetch,1
RG,01PLANT.Bush Vetch,1
CP,01PLANT.Charlock,1
GM,01PLANT.Charlock,1
LP,01PLANT.Charlock,1
PP,01PLANT.Charlock,1
RG,01PLANT.Charlock,1
MH,01PLANT.Chenopodium sp,1
NH,01PLANT.Chenopodium sp,1
RG,01PLANT.Chenopodium sp,1
MH,01PLANT.Cleavers,1
RG,01PLANT.Cleavers,1
WD,01PLANT.Cleavers,1
CP,01PLANT.Clover sp,1
GM,01PLANT.Clover sp,1
LP,01PLANT.Clover sp,1
LU,01PLANT.Clover sp,1
MH,01PLANT.Clover sp,1
NH,01PLANT.Clover sp,1
NL,01PLANT.Clover sp,1
PP,01PLANT.Clover sp,1
RG,01PLANT.Clover sp,1
MH,01PLANT.Common Bird's-foot-trefoil,1
PP,01PLANT.Common Bird's-foot-trefoil,1
RG,01PLANT.Common Bird's-foot-trefoil,1
CP,01PLANT.Common Field Speedwell,1
SF,01PLANT.Common Field Speedwell,1
PP,01PLANT.Common Fleabane,1
CP,01PLANT.Common Mouse-ear,1
LP,01PLANT.Common Mouse-ear,1
MH,01PLANT.Common Mouse-ear,1
NH,01PLANT.Common Mouse-ear,1
PP,01PLANT.Common Mouse-ear,1
CP,01PLANT.Common Poppy,1
RG,01PLANT.Common Poppy,1
RG,01PLANT.Common Vetch,1
MH,01PLANT.Corn Mint,1
RG,01PLANT.Corn Mint,1
RG,01PLANT.Corn Sowthistle,1
CP,01PLANT.Corn Spurrey,1
GM,01PLANT.Cow Parsley,1
MH,01PLANT.Cow Parsley,1
RG,01PLANT.Cow Parsley,1
CP,01PLANT.Creeping Buttercup,1
GM,01PLANT.Creeping Buttercup,1
LP,01PLANT.Creeping Buttercup,1
LU,01PLANT.Creeping Buttercup,1
MH,01PLANT.Creeping Buttercup,1
NH,01PLANT.Creeping Buttercup,1
NL,01PLANT.Creeping Buttercup,1
PP,01PLANT.Creeping Buttercup,1
RG,01PLANT.Creeping Buttercup,1
SF,01PLANT.Creeping Buttercup,1
RG,01PLANT.Creeping Cinquefoil,1
CP,01PLANT.Creeping Thistle,1
GM,01PLANT.Creeping Thistle,1
LP,01PLANT.Creeping Thistle,1
MH,01PLANT.Creeping Thistle,1
NH,01PLANT.Creeping Thistle,1
NL,01PLANT.Creeping Thistle,1
PP,01PLANT.Creeping Thistle,1
RG,01PLANT.Creeping Thistle,1
SF,01PLANT.Creeping Thistle,1
WD,01PLANT.Creeping Thistle,1
WD,01PLANT.Cuckooflower,1
MH,01PLANT.Cut-leaved Crane's-bill,1
PP,01PLANT.Daisy,1
GM,01PLANT.Dandelion,1
LP,01PLANT.Dandelion,1
LU,01PLANT.Dandelion,1
PP,01PLANT.Dandelion,1
RG,01PLANT.Dandelion,1
CP,01PLANT.Dock sp,1
GM,01PLANT.Dock sp,1
MH,01PLANT.Dock sp,1
NH,01PLANT.Dock sp,1
PP,01PLANT.Dock sp,1
RG,01PLANT.Dock sp,1
WD,01PLANT.Dock sp,1
MH,01PLANT.Dog's Mercury,1
NH,01PLANT.Dogwood,1
MH,01PLANT.Elder,1
WD,01PLANT.Elder,1
MH,01PLANT.Elm sp,1
WD,01PLANT.Elm sp,1
CP,01PLANT.Field Forget-me-not,1
NH,01PLANT.Field Forget-me-not,1
NL,01PLANT.Field Forget-me-not,1
MH,01PLANT.Field Madder,1
MH,01PLANT.Field Maple,1
WD,01PLANT.Field Maple,1
RG,01PLANT.Garlic Mustard,1
WD,01PLANT.Germander Speedwell,1
CP,01PLANT.Grass sp,1
GM,01PLANT.Grass sp,1
LP,01PLANT.Grass sp,1
LU,01PLANT.Grass sp,1
MH,01PLANT.Grass sp,1
NH,01PLANT.Grass sp,1
NL,01PLANT.Grass sp,1
PP,01PLANT.Grass sp,1
RG,01PLANT.Grass sp,1
SF,01PLANT.Grass sp,1
WD,01PLANT.Grass sp,1
MH,01PLANT.Ground Ivy,1
RG,01PLANT.Ground Ivy,1
CP,01PLANT.Hairy Tare,1
GM,01PLANT.Hawkish Complex sp,1
GM,01PLANT.Hawthorn,1
MH,01PLANT.Hawthorn,1
NH,01PLANT.Hawthorn,1
RG,01PLANT.Hawthorn,1
WD,01PLANT.Hawthorn,1
MH,01PLANT.Hazel,1
NH,01PLANT.Hazel,1
WD,01PLANT.Hazel,1
MH,01PLANT.Hedge Woundwort,1
NH,01PLANT.Hedge Woundwort,1
RG,01PLANT.Hedge Woundwort,1
WD,01PLANT.Hedge Woundwort,1
WD,01PLANT.Herb Bennet,1
MH,01PLANT.Herb Robert,1
WD,01PLANT.Herb Robert,1
GM,01PLANT.Hogweed,1
MH,01PLANT.Hogweed,1
NH,01PLANT.Hogweed,1
RG,01PLANT.Hogweed,1
MH,01PLANT.Honeysuckle,1
MH,01PLANT.Knotgrass sp,1
NH,01PLANT.Knotgrass sp,1
RG,01PLANT.Knotgrass sp,1
WD,01PLANT.Knotgrass sp,1
WD,01PLANT.Lesser Burdock,1
MH,01PLANT.Lesser Stitchwort,1
NH,01PLANT.Lesser Stitchwort,1
PP,01PLANT.Lesser Trefoil,1
CP,01PLANT.Mayweed sp,1
LP,01PLANT.Mayweed sp,1
NH,01PLANT.Mayweed sp,1
NL,01PLANT.Mayweed sp,1
PP,01PLANT.Mayweed sp,1
RG,01PLANT.Mayweed sp,1
CP,01PLANT.Meadow Buttercup,1
MH,01PLANT.Nipplewort,1
WD,01PLANT.Nipplewort,1
CP,01PLANT.Oak,1
MH,01PLANT.Oak,1
WD,01PLANT.Oak,1
RG,01PLANT.Oil Seed Rape,1
CP,01PLANT.Parsley Piert,1
GM,01PLANT.Persicaria sp,1
MH,01PLANT.Persicaria sp,1
NH,01PLANT.Persicaria sp,1
RG,01PLANT.Persicaria sp,1
RG,01PLANT.Pineappleweed,1
LP,01PLANT.Plantain sp,1
NH,01PLANT.Ragwort,1
MH,01PLANT.Red Campion,1
WD,01PLANT.Red Campion,1
MH,01PLANT.Red Dead-nettle,1
RG,01PLANT.Red Dead-nettle,1
MH,01PLANT.Rose sp,1
MH,01PLANT.Rough Chervil,1
WD,01PLANT.Rough Chervil,1
PP,01PLANT.Selfheal,1
CP,01PLANT.Shepherd's Purse,1
RG,01PLANT.Shepherd's Purse,1
CP,01PLANT.Sow-thistle sp,1
LP,01PLANT.Sow-thistle sp,1
NH,01PLANT.Sow-thistle sp,1
NL,01PLANT.Sow-thistle sp,1
RG,01PLANT.Sow-thistle sp,1
SF,01PLANT.Sow-thistle sp,1
WD,01PLANT.Sow-thistle sp,1
CP,01PLANT.Spear Thistle,1
GM,01PLANT.Spear Thistle,1
LP,01PLANT.Spear Thistle,1
MH,01PLANT.Spear Thistle,1
NH,01PLANT.Spear Thistle,1
NL,01PLANT.Spear Thistle,1
RG,01PLANT.Spear Thistle,1
NH,01PLANT.Spindle,1
GM,01PLANT.Stinging Nettle,1
MH,01PLANT.Stinging Nettle,1
NH,01PLANT.Stinging Nettle,1
RG,01PLANT.Stinging Nettle,1
WD,01PLANT.Stinging Nettle,1
MH,01PLANT.Sycamore,1
WD,01PLANT.Sycamore,1
RG,01PLANT.Teasel,1
WD,01PLANT.Traveller's Joy,1
MH,01PLANT.Upright Hedge-parsley,1
RG,01PLANT.Upright Hedge-parsley,1
CP,01PLANT.Wall Speedwell,1
NL,01PLANT.Wall Speedwell,1
RG,01PLANT.Water Figwort,1
NH,01PLANT.Wayfaring-tree,1
RG,01PLANT.White Dead-nettle,1
NH,01PLANT.Wild Privet,1
WD,01PLANT.Wild Privet,1
CP,01PLANT.Willowherb sp,1
RG,01PLANT.Willowherb sp,1
WD,01PLANT.Woodruff,1
WD,01PLANT.Yellow Archangel,1
CP,01PLANT.zCROP Barley,1
GM,01PLANT.zCROP Lucerne,1
LU,01PLANT.zCROP Lucerne,1
CP,01PLANT.zCROP Oat spring,1
CP,01PLANT.zCROP Oat winter,1
CP,01PLANT.zCROP Triticale,1
CP,01PLANT.zCROP Wheat,1
MH,01PLANT.zCROP Wheat,1
MH,02FV.Agriotes pallidulus,1
GM,02FV.Alysiinae sp,1
LP,02FV.Alysiinae sp,1
RG,02FV.Alysiinae sp,1
RG,02FV.Anapausis soluta,1
MH,02FV.Anaspis maculata,1
RG,02FV.Anaspis maculata,1
WD,02FV.Anaspis maculata,1
MH,02FV.Anaspis pulicaria,1
RG,02FV.Anaspis pulicaria,1
CP,02FV.Andrena dorsata,1
NH,02FV.Andrena dorsata,1
RG,02FV.Andrena minutula,1
MH,02FV.Anthocomus fasciatus,1
RG,02FV.Anthomyia liturata,1
NL,02FV.Anthomyia pluvialis,1
RG,02FV.Anthomyza gracilis,1
MH,02FV.Anthophila fabriciana,1
RG,02FV.Anthophila fabriciana,1
GM,02FV.Apis mellifera,1
LP,02FV.Apis mellifera,1
LU,02FV.Apis mellifera,1
MH,02FV.Apis mellifera,1
NH,02FV.Apis mellifera,1
NL,02FV.Apis mellifera,1
RG,02FV.Apis mellifera,1
SF,02FV.Apis mellifera,1
LP,02FV.Aprostocetus sp,1
PP,02FV.Asecodes coronis,1
RG,02FV.Authonomus rubi,1
RG,02FV.Azelia cilipes,1
MH,02FV.Azelia zetterstedtii,1
WD,02FV.Baccha elongate,1
RG,02FV.Bellardia pandia,1
MH,02FV.Bicellaria vana,1
MH,02FV.Bicellaria varia,1
MH,02FV.Bombus hortorum,1
NH,02FV.Bombus hortorum,1
NL,02FV.Bombus hortorum,1
RG,02FV.Bombus hortorum,1
CP,02FV.Bombus lapidarius,1
LP,02FV.Bombus lapidarius,1
MH,02FV.Bombus lapidarius,1
NH,02FV.Bombus lapidarius,1
NL,02FV.Bombus lapidarius,1
PP,02FV.Bombus lapidarius,1
RG,02FV.Bombus lapidarius,1
GM,02FV.Bombus pascuorum,1
LP,02FV.Bombus pascuorum,1
MH,02FV.Bombus pascuorum,1
NH,02FV.Bombus pascuorum,1
NL,02FV.Bombus pascuorum,1
PP,02FV.Bombus pascuorum,1
RG,02FV.Bombus pascuorum,1
PP,02FV.Bombus pratorum,1
RG,02FV.Bombus pratorum,1
CP,02FV.Bombus terrestris,1
LP,02FV.Bombus terrestris,1
LU,02FV.Bombus terrestris,1
MH,02FV.Bombus terrestris,1
NL,02FV.Bombus terrestris,1
RG,02FV.Bombus terrestris,1
LP,02FV.Bombus vestalis,1
CP,02FV.Botanophila fugax,1
NH,02FV.Botanophila fugax,1
LP,02FV.Botanophila striolata,1
MH,02FV.Botanophila striolata,1
NH,02FV.Botanophila striolata,1
PP,02FV.Botanophila striolata,1
RG,02FV.Botanophila striolata,1
RG,02FV.Brachypterus urticae,1
CP,02FV.Bracon sp,1
GM,02FV.Bracon sp,1
MH,02FV.Bracon sp,1
CP,02FV.Bruchus rufimanus,1
MH,02FV.Byturus tomentosus,1
MH,02FV.Calliphora vicina,1
NH,02FV.Calliphora vomitoria,1
MH,02FV.Cantharis decipiens,1
MH,02FV.Cantharis lateralis,1
CP,02FV.Cantharis nigra,1
MH,02FV.Cantharis nigra,1
NH,02FV.Cantharis nigra,1
PP,02FV.Cantharis nigra,1
GM,02FV.Cecidomyiidae sp,1
CP,02FV.Centrorhynchus obstrictus,1
CP,02FV.Cephus pygmaeus,1
MH,02FV.Cephus pygmaeus,1
NH,02FV.Cephus pygmaeus,1
RG,02FV.Cephus pygmaeus,1
CP,02FV.Ceraphron trissacantha,1
CP,02FV.Cetema elongata,1
CP,02FV.Cheilosia albitarsis,1
GM,02FV.Cheilosia albitarsis,1
NH,02FV.Cheilosia albitarsis,1
RG,02FV.Cheilosia honesta,1
RG,02FV.Cheilosia illustrata,1
RG,02FV.Cheilosia pagana,1
RG,02FV.Cheilosia proxima,1
RG,02FV.Cheilosia proxima group sp. D,1
NH,02FV.Chloromyia formosa,1
NL,02FV.Chloromyia formosa,1
PP,02FV.Chloromyia formosa,1
GM,02FV.Chlorops hypostigma,1
MH,02FV.Chlorops hypostigma,1
RG,02FV.Chlorops hypostigma,1
GM,02FV.Chlorops pumilionis,1
MH,02FV.Chlorops pumilionis,1
NH,02FV.Chlorops pumilionis,1
RG,02FV.Chorebus sp,1
PP,02FV.Chorebus sp nov,1
RG,02FV.Chromatomyia nigra,1
NH,02FV.Chrysopilus asiliformis,1
RG,02FV.Chrysotoxum bicinctum,1
CP,02FV.Chrysotus sp,1
MH,02FV.Chrysotus sp,1
PP,02FV.Chrysotus sp,1
RG,02FV.Chrysotus sp,1
WD,02FV.Chrysotus sp,1
MH,02FV.Coccinella septempunctata,1
RG,02FV.Coenosia tigrina,1
MH,02FV.Copromyza similes,1
MH,02FV.Crossopalpus sp,1
GM,02FV.Dacnusa (maculipes),1
CP,02FV.Delia sp,1
GM,02FV.Delia sp,1
LP,02FV.Delia sp,1
MH,02FV.Delia sp,1
NH,02FV.Delia sp,1
NL,02FV.Delia sp,1
PP,02FV.Delia sp,1
RG,02FV.Delia sp,1
NL,02FV.Demetrias atricapillus,1
CP,02FV.Desmometopa sp,1
GM,02FV.Dicraeus tibialis,1
RG,02FV.Dicraeus vagans,1
MH,02FV.Dilophus febrilis,1
NH,02FV.Dilophus febrilis,1
RG,02FV.Dilophus febrilis,1
CP,02FV.Diospilus capito,1
LP,02FV.Diplonevra sp,1
PP,02FV.Diplonevra sp,1
RG,02FV.Diplonevra sp,1
NH,02FV.Dolerus haematodes,1
CP,02FV.Dolichopus festivus,1
GM,02FV.Dolichopus festivus,1
RG,02FV.Dolichopus festivus,1
MH,02FV.Dolichopus ungulatus,1
RG,02FV.Ectemnius cephalotes,1
MH,02FV.Empis (Xanthempis) sp,1
MH,02FV.Empis caudatula,1
NH,02FV.Empis chioptera,1
CP,02FV.Empis livida,1
GM,02FV.Empis livida,1
LP,02FV.Empis livida,1
MH,02FV.Empis livida,1
NH,02FV.Empis livida,1
NL,02FV.Empis livida,1
PP,02FV.Empis livida,1
RG,02FV.Empis livida,1
WD,02FV.Empis livida,1
MH,02FV.Empis nigripes,1
CP,02FV.Empis nuntia,1
MH,02FV.Endasys sp,1
CP,02FV.Episyrphus balteatus,1
MH,02FV.Episyrphus balteatus,1
RG,02FV.Episyrphus balteatus,1
WD,02FV.Episyrphus balteatus,1
MH,02FV.Epuraea melanocephala,1
WD,02FV.Epuraea melanocephala,1
NH,02FV.Eriothrix rufomaculata,1
RG,02FV.Eriothrix rufomaculata,1
CP,02FV.Eristalis arbustorum,1
NH,02FV.Eristalis arbustorum,1
RG,02FV.Eristalis arbustorum,1
SF,02FV.Eristalis arbustorum,1
MH,02FV.Eristalis pertinax,1
NH,02FV.Eristalis pertinax,1
RG,02FV.Eristalis pertinax,1
WD,02FV.Eristalis pertinax,1
NH,02FV.Eristalis tenax,1
NL,02FV.Eristalis tenax,1
MH,02FV.Eudasyphora cyanella,1
NL,02FV.Eudasyphora cyanella,1
CP,02FV.Eupeodes corollae,1
LP,02FV.Eupeodes corollae,1
NH,02FV.Eupeodes corollae,1
RG,02FV.Eupeodes luniger,1
MH,02FV.Fannia serena,1
CP,02FV.Fannia sp,1
GM,02FV.Fannia sp,1
MH,02FV.Fannia sp,1
RG,02FV.Fannia sp,1
RG,02FV.Formicidae A,1
GM,02FV.Formicidae B,1
PP,02FV.Formicidae B,1
CP,02FV.Gastrophysa viridular,1
LU,02FV.Gastrophysa viridular,1
LP,02FV.Geomyza tripunctata,1
CP,02FV.Glyphipterix simpliciella,1
GM,02FV.Glyphipterix simpliciella,1
MH,02FV.Glyphipterix simpliciella,1
NH,02FV.Glyphipterix simpliciella,1
RG,02FV.Glyphipterix simpliciella,1
MH,02FV.Grammoptera ruficornis,1
RG,02FV.Grammoptera ruficornis,1
PP,02FV.Halticoptera sp,1
MH,02FV.Helina sp,1
PP,02FV.Helina sp,1
CP,02FV.Helophilus pendulus,1
NH,02FV.Helophilus pendulus,1
CP,02FV.Helophilus trivittatus,1
RG,02FV.Hemicrepidius hirtus,1
WD,02FV.Hercostomus parvilamellatus,1
NH,02FV.Herina longistylata,1
RG,02FV.Heteronychia vagans,1
PP,02FV.Hexacola hexatoma,1
CP,02FV.Hydrellia griseola,1
PP,02FV.Hydrellia griseola,1
RG,02FV.Hydrellia griseola,1
GM,02FV.Hydrellia maura,1
PP,02FV.Hydrellia maura,1
NL,02FV.Hylaeus communis,1
GM,02FV.Hylaeus hyalinatus,1
LP,02FV.Hylemya urbica/variata,1
MH,02FV.Hylemya vagans,1
RG,02FV.Hylemya vagans,1
WD,02FV.Hylemya vagans,1
GM,02FV.Hylemya variata,1
WD,02FV.Hylemya variata,1
MH,02FV.Ichneumonidae,1
PP,02FV.Kleidotoma tetratoma,1
MH,02FV.Kuzinia sp,1
MH,02FV.Lasioglossum sp,1
RG,02FV.Lasioglossum sp,1
NH,02FV.Limnia unguicornis,1
MH,02FV.Limnophora triangula,1
CP,02FV.Lonchoptera lutea,1
NL,02FV.Lonchoptera lutea,1
RG,02FV.Lonchoptera lutea,1
CP,02FV.Longitarsus sp,1
LP,02FV.Lotophila atra,1
PP,02FV.Lotophila atra,1
NH,02FV.Lucilia caesar,1
RG,02FV.Lucilia caesar,1
NH,02FV.Lucilia richardsi,1
MH,02FV.Lucilia sericata,1
NH,02FV.Lucilia sericata,1
CP,02FV.Malachius bipustulatus,1
GM,02FV.Malachius bipustulatus,1
NH,02FV.Malachius bipustulatus,1
RG,02FV.Malachius bipustulatus,1
MH,02FV.Malthodes minimus,1
PP,02FV.Maniola jurtina,1
GM,02FV.Megaselia sp,1
LP,02FV.Melangyna sp,1
CP,02FV.Melanostoma mellinum,1
GM,02FV.Melanostoma mellinum,1
NH,02FV.Melanostoma mellinum,1
RG,02FV.Melanostoma mellinum,1
MH,02FV.Melanostoma scalare,1
MH,02FV.Melanostoma sp,1
MH,02FV.Melinda viridicyanea,1
NH,02FV.Melinda viridicyanea,1
RG,02FV.Melinda viridicyanea,1
LP,02FV.Metasyrphus luniger,1
CP,02FV.Metopina sp,1
GM,02FV.Metopina sp,1
NH,02FV.Metopina sp,1
PP,02FV.Metopina sp,1
NH,02FV.Microchrysa polita,1
MH,02FV.Microphor anomalus,1
GM,02FV.Micropterix calthella,1
MH,02FV.Miscogaster maculata,1
RG,02FV.Musca autumnalis,1
MH,02FV.Neoascia podagrica,1
RG,02FV.Neoascia podagrica,1
CP,02FV.Neomyia cornicina,1
MH,02FV.Neomyia cornicina,1
NH,02FV.Neomyia cornicina,1
RG,02FV.Neomyia cornicina,1
NH,02FV.Neomyia viridescens,1
RG,02FV.Neomyia viridescens,1
GM,02FV.Norellisoma spinimanum,1
CP,02FV.Oedemera lurida,1
GM,02FV.Oedemera lurida,1
NH,02FV.Oedemera lurida,1
RG,02FV.Oedemera lurida,1
CP,02FV.Oedemera nobilis,1
GM,02FV.Oedemera nobilis,1
MH,02FV.Oedemera nobilis,1
