"","node_id","node_name","taxon","biomass.g"
"1",341,"Acyrthosiphon pisum","Aphid",0.0008623
"2",342,"Aphid species ","Aphid",NA
"3",343,"Aphis fabae","Aphid",NA
"4",344,"Aphis galiiscabri","Aphid",NA
"5",345,"Aphis rumicis","Aphid",NA
"6",346,"Aphis urticae","Aphid",NA
"7",347,"Brachycaudus helichrysii","Aphid",NA
"8",348,"Capitophorus elaeagnii","Aphid",NA
"9",349,"Cavariella aegopodii","Aphid",NA
"10",350,"Cryptomyzus korschelti","Aphid",NA
"11",351,"Dysaphis species ","Aphid",NA
"12",352,"Hyperomyzus lactucae","Aphid",NA
"13",353,"Lipaphys erysimi","Aphid",NA
"14",354,"Macrosiphum funestum","Aphid",NA
"15",355,"Metopolophium dihrodum","Aphid",NA
"16",356,"Microlophium carnosum","Aphid",NA
"17",357,"Myzocallis coryli","Aphid",NA
"18",358,"Myzus persicae","Aphid",0.0002042
"19",359,"Nasonvoia ribisnigri","Aphid",NA
"20",360,"Phorodon humuli","Aphid",NA
"21",361,"Sipha maydis","Aphid",NA
"22",362,"Sitobion avenae","Aphid",0.0031632
"23",363,"Sitobion fragariae","Aphid",NA
"24",364,"Therioaphis trifoli","Aphid",NA
"25",365,"Tubaphis ranunculina","Aphid",NA
"26",366,"Uroleucon aeneum","Aphid",NA
"27",367,"Uroleucon cirsii","Aphid",NA
"28",368,"Uroleucon sonchi","Aphid",NA
"29",387,"Achrysocharoides acerianus","Leaf-miner parasitoid",NA
"30",388,"Achrysocharoides atys","Leaf-miner parasitoid",NA
"31",389,"Achrysocharoides butus","Leaf-miner parasitoid",NA
"32",390,"Achrysocharoides latreillei","Leaf-miner parasitoid",NA
"33",391,"Adelius sp","Leaf-miner parasitoid",NA
"34",392,"Adelurola florimela","Leaf-miner parasitoid",NA
"35",393,"Alysiinae sp","Leaf-miner parasitoid",NA
"36",394,"Anagrus sp A","Leaf-miner parasitoid",NA
"37",395,"Anagrus sp B","Leaf-miner parasitoid",NA
"38",396,"Anagrus sp C","Leaf-miner parasitoid",NA
"39",397,"Apanteles circumscriptus","Leaf-miner parasitoid",NA
"40",398,"Aphanogmus microneurus","Leaf-miner parasitoid",NA
"41",399,"Aphanogmus sp","Leaf-miner parasitoid",NA
"42",400,"Apodesmia A","Leaf-miner parasitoid",NA
"43",401,"Apodesmia curvata","Leaf-miner parasitoid",NA
"44",402,"Apodesmia irregularis","Leaf-miner parasitoid",NA
"45",403,"Apodesmia ocellata","Leaf-miner parasitoid",NA
"46",404,"Apodesmia rufipes","Leaf-miner parasitoid",NA
"47",405,"Apodesmia similis","Leaf-miner parasitoid",NA
"48",406,"Asaphes suspensus","Leaf-miner parasitoid",NA
"49",407,"Ascogaster varipes","Leaf-miner parasitoid",NA
"50",408,"Bracon sp","Leaf-miner parasitoid",NA
"51",409,"Campoplex sp","Leaf-miner parasitoid",NA
"52",410,"Chelonus scabrosus","Leaf-miner parasitoid",NA
"53",411,"Chelonus sp","Leaf-miner parasitoid",NA
"54",412,"Chelonus sp aff rimatus","Leaf-miner parasitoid",NA
"55",413,"Chorebus A","Leaf-miner parasitoid",NA
"56",414,"Chorebus amasis","Leaf-miner parasitoid",NA
"57",415,"Chorebus aphantus","Leaf-miner parasitoid",NA
"58",416,"Chorebus B","Leaf-miner parasitoid",NA
"59",417,"Chorebus C","Leaf-miner parasitoid",NA
"60",418,"Chorebus E","Leaf-miner parasitoid",NA
"61",419,"Chorebus fallaciosae","Leaf-miner parasitoid",NA
"62",420,"Chorebus lateralis","Leaf-miner parasitoid",NA
"63",421,"Chorebus leptogaster","Leaf-miner parasitoid",NA
"64",422,"Chorebus tanis","Leaf-miner parasitoid",NA
"65",423,"Chrysocharis chilo","Leaf-miner parasitoid",NA
"66",424,"Chrysocharis laomedon","Leaf-miner parasitoid",NA
"67",425,"Chrysocharis orbicularis","Leaf-miner parasitoid",NA
"68",426,"Chrysocharis pentheus","Leaf-miner parasitoid",NA
"69",427,"Chrysocharis polyzo","Leaf-miner parasitoid",NA
"70",428,"Chrysocharis prodice","Leaf-miner parasitoid",NA
"71",429,"Chrysocharis pubicornis","Leaf-miner parasitoid",NA
"72",430,"Chrysocharis viridis","Leaf-miner parasitoid",NA
"73",431,"Cirrospilus diallus","Leaf-miner parasitoid",NA
"74",432,"Cirrospilus lyncus","Leaf-miner parasitoid",NA
"75",433,"Cirrospilus vittatus","Leaf-miner parasitoid",NA
"76",434,"Colastes braconius","Leaf-miner parasitoid",NA
"77",435,"Colastes sp aff braconius","Leaf-miner parasitoid",NA
"78",436,"Coloneura (ate)","Leaf-miner parasitoid",NA
"79",437,"Cyrtogaster vulgaris","Leaf-miner parasitoid",NA
"80",438,"Dacnusa adducta","Leaf-miner parasitoid",NA
"81",439,"Dacnusa areolaris","Leaf-miner parasitoid",NA
"82",440,"Dacnusa laevipectus","Leaf-miner parasitoid",NA
"83",441,"Dacnusa macrospila","Leaf-miner parasitoid",NA
"84",442,"Dacnusa maculipes/confinis","Leaf-miner parasitoid",NA
"85",443,"Dacnusa tarsalis","Leaf-miner parasitoid",NA
"86",444,"Dacnusa temula","Leaf-miner parasitoid",NA
"87",445,"Dapsilarthra rufiventris","Leaf-miner parasitoid",NA
"88",446,"Desmiostoma parvulum","Leaf-miner parasitoid",NA
"89",447,"Diadegma crataegi","Leaf-miner parasitoid",NA
"90",448,"Diglyphus chabrias","Leaf-miner parasitoid",NA
"91",449,"Diglyphus isaea","Leaf-miner parasitoid",NA
"92",450,"Epiclerus temenus","Leaf-miner parasitoid",NA
"93",451,"Eulophinae sp","Leaf-miner parasitoid",NA
"94",452,"Exotela cyclogaster","Leaf-miner parasitoid",NA
"95",453,"Exotela flavicoxa","Leaf-miner parasitoid",NA
"96",454,"Exotela gilvipes","Leaf-miner parasitoid",NA
"97",455,"Exotela spinifer","Leaf-miner parasitoid",NA
"98",456,"Forsterella sp","Leaf-miner parasitoid",NA
"99",457,"Gelis anthracinus","Leaf-miner parasitoid",NA
"100",458,"Gelis bicolor","Leaf-miner parasitoid",NA
"101",459,"Hemiptarsenus dropion","Leaf-miner parasitoid",NA
"102",460,"Hemiptarsenus fulvicollis","Leaf-miner parasitoid",NA
"103",461,"Hemiptarsenus unguicellus","Leaf-miner parasitoid",NA
"104",462,"Ionympha carne","Leaf-miner parasitoid",NA
"105",463,"Microgastrinae sp","Leaf-miner parasitoid",NA
"106",464,"Miscogaster hortensis","Leaf-miner parasitoid",NA
"107",465,"Miscogaster maculata","Leaf-miner parasitoid",NA
"108",466,"Opiinae sp","Leaf-miner parasitoid",NA
"109",467,"Opius s s ","Leaf-miner parasitoid",NA
"110",468,"Opius s s  lugens","Leaf-miner parasitoid",NA
"111",469,"Opius sp","Leaf-miner parasitoid",NA
"112",470,"Pediobius acantha","Leaf-miner parasitoid",NA
"113",471,"Phaedrotoma exigua","Leaf-miner parasitoid",NA
"114",472,"Phaedrotoma variegata","Leaf-miner parasitoid",NA
"115",473,"Pnigalio soemius","Leaf-miner parasitoid",NA
"116",474,"Seladerma diffine","Leaf-miner parasitoid",NA
"117",475,"Seladerma tarsale","Leaf-miner parasitoid",NA
"118",476,"Sympiesis gordius","Leaf-miner parasitoid",NA
"119",477,"Sympiesis sericeicornis","Leaf-miner parasitoid",NA
"120",478,"Synopeas rhanis","Leaf-miner parasitoid",NA
"121",479,"Torymus sp","Leaf-miner parasitoid",NA
"122",480,"Blastodacna hellerella","Seed-feeding insect",NA
"123",481,"Bruchidius varius","Seed-feeding insect",NA
"124",482,"Bruchophagus gibbus","Seed-feeding insect",NA
"125",483,"Curtonotus aulicus","Seed-feeding insect",NA
"126",484,"Olibrus aeneus","Seed-feeding insect",NA
"127",485,"Oxystoma pomonae","Seed-feeding insect",NA
"128",486,"Protapion apricans","Seed-feeding insect",NA
"129",487,"Protapion assimile","Seed-feeding insect",NA
"130",488,"Protapion fulvipes","Seed-feeding insect",NA
"131",489,"Protapion nigritarse","Seed-feeding insect",NA
"132",490,"Protapion trifolii","Seed-feeding insect",NA
"133",491,"Protapion varipes","Seed-feeding insect",NA
"134",492,"Rhinocyllus conicus","Seed-feeding insect",NA
"135",493,"Sitona lineatus","Seed-feeding insect",NA
"136",494,"Sitona sulcifrons","Seed-feeding insect",NA
"137",495,"Terellia longicauda","Seed-feeding insect",NA
"138",496,"Terellia ruficauda","Seed-feeding insect",NA
"139",497,"Terellia serratulae","Seed-feeding insect",NA
"140",498,"Urophora stylata","Seed-feeding insect",NA
"141",548,"Amalaraeus penicilliger mustelae","Rodent ectoparasite",NA
"142",549,"Ctenophthalmus nobilis vulgaris","Rodent ectoparasite",NA
"143",550,"Hystrichopsylla talpae talpae","Rodent ectoparasite",NA
"144",551,"Ixodes trianguliceps","Rodent ectoparasite",NA
"145",552,"Megabothris turbidus","Rodent ectoparasite",NA
"146",553,"Nosopsyllus fasciatus","Rodent ectoparasite",NA
"147",554,"Palaeopsylla minor","Rodent ectoparasite",NA
"148",555,"Palaeopsylla soricis soricis","Rodent ectoparasite",NA
"149",369,"Aphidius ervi","Primary aphid parasitoid",0.000116
"150",370,"Aphidius funebris","Primary aphid parasitoid",NA
"151",371,"Aphidius matricariae","Primary aphid parasitoid",NA
"152",372,"Aphidius picipes","Primary aphid parasitoid",NA
"153",373,"Aphidius rhopalosiphi","Primary aphid parasitoid",0.000161
"154",374,"Ephedrus plagiator","Primary aphid parasitoid",NA
"155",375,"Praon dorsale","Primary aphid parasitoid",NA
"156",376,"Praon exoletum","Primary aphid parasitoid",NA
"157",377,"Praon sp nr flavinode","Primary aphid parasitoid",NA
"158",378,"Praon volucre","Primary aphid parasitoid",NA
"159",379,"Trioxys B","Primary aphid parasitoid",NA
"160",380,"Alloxysta victrix","Secondary aphid parasitoid",5.86e-05
"161",381,"Asaphes suspensus","Secondary aphid parasitoid",NA
"162",382,"Asaphes vulgaris","Secondary aphid parasitoid",NA
"163",383,"Coruna clavata","Secondary aphid parasitoid",NA
"164",384,"Dendrocerus aphidum","Secondary aphid parasitoid",NA
"165",385,"Dendrocerus carpenteri","Secondary aphid parasitoid",9.02e-05
"166",386,"Pachyneuron sp","Secondary aphid parasitoid",NA
"167",531,"Aprostocetus sp","Insect seed-feeder parasitoid",8e-05
"168",532,"Bracon immutator","Insect seed-feeder parasitoid",NA
"169",533,"Bracon osculator","Insect seed-feeder parasitoid",NA
"170",534,"Bracon praecox","Insect seed-feeder parasitoid",NA
"171",535,"Crataepus marbis","Insect seed-feeder parasitoid",NA
"172",536,"Eurytoma sp A","Insect seed-feeder parasitoid",NA
"173",537,"Eurytoma sp B","Insect seed-feeder parasitoid",NA
"174",538,"Mesopolobus incultus","Insect seed-feeder parasitoid",0.00045
"175",539,"Pterandrophysalis levantina","Insect seed-feeder parasitoid",NA
"176",540,"Pteromalus albipennis","Insect seed-feeder parasitoid",0.0013
"177",541,"Pteromalus beryllii","Insect seed-feeder parasitoid",NA
"178",542,"Pteromalus elevatus","Insect seed-feeder parasitoid",0.0121
"179",543,"Pteromalus sequester-group","Insect seed-feeder parasitoid",NA
"180",544,"Spintherus dubius","Insect seed-feeder parasitoid",NA
"181",545,"Triaspis floricola","Insect seed-feeder parasitoid",NA
"182",546,"Trichomalus campestris","Insect seed-feeder parasitoid",NA
"183",547,"Trichomalus rufinus","Insect seed-feeder parasitoid",NA
